id,articleType,subCategory,masterCategory,baseColour,gender,usage,productDisplayName
1577,Caps,Headwear,Accessories,Green,Unisex,Sports,Inesis  Slim Shady Cap
1578,Tshirts,Topwear,Apparel,Red,Men,Sports,Domyos Men Good Stroke Red T-shirt
1579,Jackets,Topwear,Apparel,Grey,Men,Sports,Domyos Men Grey Second Skin Jacket
1580,Swimwear,Bottomwear,Apparel,Black,Women,Sports,Nabaiji Women Cross-back Swimsuit
1581,Caps,Headwear,Accessories,Pink,Unisex,Sports,Nabaiji Unisex Silicone Swimming Cap
1582,Swimwear,Bottomwear,Apparel,Black,Unisex,Sports,Nabaiji Unisex Black Silicone Swimming Cap
1583,Swimwear,Bottomwear,Apparel,Black,Women,Sports,Nabaiji Women Black Swimsuit
1584,Jackets,Topwear,Apparel,White,Unisex,Casual,Domyos Unisex Feather-light Jacket
1587,Sports Shoes,Shoes,Footwear,White,Men,Sports,Kipsta Men Superfit Football White Shoe
1588,Tshirts,Topwear,Apparel,White,Men,Casual,Domyos Men White Dry-Fit T-shirt
1590,Sports Shoes,Shoes,Footwear,Black,Men,Sports,Kipsta Men's F300 Football Shoe
1591,Shorts,Bottomwear,Apparel,Red,Men,Sports,Kipsta Men Red Shorts
1592,Sports Shoes,Shoes,Footwear,Red,Men,Sports,Kipsta Men's Superfit Football Red Shoe
1594,Casual Shoes,Shoes,Footwear,Grey,Unisex,Casual,Newfeel Unisex Grey Mesh Lightweight Shoe
1595,Tshirts,Topwear,Apparel,Black,Men,Sports,Domyos Men Good Stroke Black T-shirt
1596,Water Bottle,Water Bottle,Accessories,Pink,Men,Sports,Quechua Easy-to-Carry Pink Sipper
1597,Handbags,Bags,Accessories,Black,Women,Travel,Geonaute Women Black Outdoor Bag
1598,Handbags,Bags,Accessories,Blue,Women,Travel,Geonaute Women Blue Outdoor Bag
1599,Handbags,Bags,Accessories,Green,Women,Travel,Geonaute Women Green Outdoor Bag
1603,Sweatshirts,Topwear,Apparel,Navy Blue,Men,Casual,Reebok Men Hoops Athletic Navy Sweatshirt
1604,Track Pants,Bottomwear,Apparel,Blue,Women,Sports,Reebok Track Pants Women Blue
1605,Track Pants,Bottomwear,Apparel,Black,Women,Sports,Reebok Black Track Pant
1607,Track Pants,Bottomwear,Apparel,Blue,Men,Sports,Reebok Men trackpant- male Track Pants
1608,Track Pants,Bottomwear,Apparel,Blue,Men,Sports,Reebok Track Pants Jet Black
1609,Sweatshirts,Topwear,Apparel,Pink,Women,Sports,Reebok Women Boat-Neck Wildberry Sweatshirt
1610,Jackets,Topwear,Apparel,Navy Blue,Women,Casual,Reebok Navy Jacket
1611,Jackets,Topwear,Apparel,Black,Women,Sports,Reebok Knit Rib Women Black Jacket
1612,Tshirts,Topwear,Apparel,White,Men,Casual,Reebok Orange & White Striped Polo T-shirt
1613,Tshirts,Topwear,Apparel,White,Men,Casual,Reebok Men White Polo Tshirt
1614,Tshirts,Topwear,Apparel,White,Men,Sports,Reebok T-shirt White Polo Tshirt
1615,Tshirts,Topwear,Apparel,Navy Blue,Men,Casual,Reebok Men Navy Blue Polo T-shirt
1616,Tshirts,Topwear,Apparel,White,Men,Sports,Reebok Men's Shoot White T-Shirt
1617,Tshirts,Topwear,Apparel,Red,Men,Sports,Reebok Men Shoot T-Shirt Red
1618,Sports Shoes,Shoes,Footwear,White,Men,Sports,Reebok Men United Runner White
1619,Shorts,Bottomwear,Apparel,Grey,Men,Sports,Reebok Men Micro Shorts Grey and White
1620,Shorts,Bottomwear,Apparel,Blue,Men,Sports,Reebok Men Micro Shorts
1621,Shorts,Bottomwear,Apparel,Grey,Men,Sports,Reebok Men Micro Shorts Black and White
1622,Jackets,Topwear,Apparel,Navy Blue,Men,Casual,Reebok Navy Knit Rib Jacket
1623,Backpacks,Bags,Accessories,Red,Unisex,Casual,Reebok Unisex Red Backpack
1624,Backpacks,Bags,Accessories,Black,Unisex,Sports,Reebok Silver-Black Laptop Backpack
1625,Tshirts,Topwear,Apparel,Red,Men,Sports,Domyos Men Quick Dry T-shirt
1626,Footballs,Sports Equipment,Sporting Goods,Blue,Unisex,Sports,Kipsta F300 Football Size 5 Football
1627,Footballs,Sports Equipment,Sporting Goods,White,Unisex,Sports,Kipsta F300 Football
1628,Basketballs,Sports Equipment,Sporting Goods,Brown,Unisex,Sports,Kipsta Xtra Bounce Basketball
1634,Sports Shoes,Shoes,Footwear,White,Men,Sports,Inesis Water Repellent Canaveral Shoes
1635,Casual Shoes,Shoes,Footwear,Red,Unisex,Casual,Newfeel Unisex Red Comfy Shoes
1636,Sports Shoes,Shoes,Footwear,White,Men,Sports,Nike Men Air Zoom Century Shoes
1637,Sports Shoes,Shoes,Footwear,White,Men,Sports,Nike Men White Cricket Shoes
1638,Swimwear,Bottomwear,Apparel,Blue,Unisex,Sports,Nabaiji Swimming Goggles Blue Black
1641,Sports Shoes,Shoes,Footwear,Silver,Men,Sports,Reebok Men's Hex Run Pure Silver Shoe
1642,Sports Shoes,Shoes,Footwear,White,Men,Sports,Reebok Men Winning Stride White Red
1644,Tshirts,Topwear,Apparel,Red,Men,Sports,Kipsta Men Loose Fit Round Neck Jersey Red
1645,Tshirts,Topwear,Apparel,Black,Men,Sports,Kipsta Men Loose Fit Round Neck Jersey Black
1646,Backpacks,Bags,Accessories,Grey,Women,Sports,Quechua Ultralight Backpack 16 Ltr Grey Bag
1647,Backpacks,Bags,Accessories,Green,Unisex,Sports,Quechua Unisex Ultralight 16 Ltr Green Backpack
1648,Backpacks,Bags,Accessories,Pink,Women,Travel,Quechua  Ultralight Backpack Purple 16 ltr Bag
1649,Casual Shoes,Shoes,Footwear,Blue,Unisex,Casual,Newfeel Unisex Comfy Cool Blue Shoe
1651,Tshirts,Topwear,Apparel,Pink,Women,Sports,Domyos Women Style Pink T-shirt
1653,Sports Shoes,Shoes,Footwear,Brown,Men,Sports,Reebok Men's Ventilator Ubiq Shoe
1654,Sports Shoes,Shoes,Footwear,White,Men,Sports,Reebok Men's Frisker LP Shoe
1656,Caps,Headwear,Accessories,Blue,Unisex,Sports,Nike Unisex Odi Day Cap
1657,Sports Shoes,Shoes,Footwear,White,Men,Sports,Reebok Men's White High Wire Shoe
1658,Jackets,Topwear,Apparel,Blue,Men,Sports,Nike Men Windrunner Blue Jacket
1662,Jackets,Topwear,Apparel,Navy Blue,Men,Sports,Nike Men Blue Windrunner Jacket
1668,Tshirts,Topwear,Apparel,Red,Men,Casual,Reebok Men Playdry Full Sleeved T-shirt Red
1670,Tshirts,Topwear,Apparel,Grey,Men,Casual,Reebok Men Green Polo T-shirt
1671,Tshirts,Topwear,Apparel,Black,Men,Casual,Reebok Men Black Polo T-shirt
1673,Tshirts,Topwear,Apparel,Black,Men,Sports,Reebok Mens Lagoon Black T-shirt
1678,Tshirts,Topwear,Apparel,Green,Men,Casual,Reebok Men Play Hard Cotton Green T-shirt
1689,Tshirts,Topwear,Apparel,Blue,Men,Casual,Reebok Men Blue Polo T-shirt
1697,Backpacks,Bags,Accessories,Black,Unisex,Sports,Puma Deck Black Backpack
1727,Casual Shoes,Shoes,Footwear,Black,Unisex,Casual,Newfeel Unisex Black Lightweight Shoes
1728,Sports Shoes,Shoes,Footwear,Green,Unisex,Sports,Newfeel Unisex Green Sports Shoes
1729,Casual Shoes,Shoes,Footwear,White,Unisex,Casual,Newfeel Unisex White Shoes
1730,Sports Shoes,Shoes,Footwear,Black,Women,Sports,Reebok Women Black Pink Frisker Shoe
1731,Sports Shoes,Shoes,Footwear,White,Women,Sports,Reebok Women White Blue Frisker Shoes
1752,Tshirts,Topwear,Apparel,Red,Men,Sports,Lotto Men Red Epic T-shirt
1754,Tshirts,Topwear,Apparel,Black,Men,Sports,Lotto Men Marcello Black T-shirt
1755,Tshirts,Topwear,Apparel,Red,Men,Casual,Lotto Men Jasper Street Red T-shirt
1756,Tshirts,Topwear,Apparel,White,Men,Sports,Lotto Men White Polo T-shirt
1757,Tshirts,Topwear,Apparel,Black,Men,Sports,Lotto Men Polo Slate Black Rugby T-shirt
1758,Jackets,Topwear,Apparel,White,Men,Sports,Lotto Men White Collared Jacket
1759,Tshirts,Topwear,Apparel,Grey,Men,Sports,Lotto Men Epic Grey T-shirt
1760,Tshirts,Topwear,Apparel,White,Men,Sports,Lotto Men Marcello White T-shirt
1762,Tshirts,Topwear,Apparel,Blue,Women,Sports,Lotto Women Cathy Blue T-shirt
1763,Tshirts,Topwear,Apparel,Pink,Women,Casual,Lotto Women Cathy Pink T-shirt
1764,Track Pants,Bottomwear,Apparel,Black,Women,Sports,Lotto Women Mid Cathy Track Pants
1765,Tshirts,Topwear,Apparel,White,Women,Casual,Lotto Women White T-shirt
1766,Tshirts,Topwear,Apparel,Blue,Men,Casual,Inesis Men Blue Polo T-shirt
1782,Sports Shoes,Shoes,Footwear,Black,Men,Sports,Kalenji Men's Kapteren Black Shoe
1783,Sandals,Sandal,Footwear,Grey,Men,Sports,Quechua Men Grey Sandal
1784,Sports Shoes,Shoes,Footwear,White,Men,Sports,Lotto Men's Melbourne White-Red Shoe
1785,Sports Shoes,Shoes,Footwear,White,Men,Sports,Lotto Men Brighton White-Blue Shoe
1786,Sports Shoes,Shoes,Footwear,White,Men,Sports,Lotto Men's Court Logo White Shoe
1787,Sports Shoes,Shoes,Footwear,White,Men,Sports,Lotto Men Court Logo White-Silver Shoe
1788,Sports Shoes,Shoes,Footwear,White,Men,Sports,Lotto Men's Court-White-Blue Shoe
1789,Sports Shoes,Shoes,Footwear,Orange,Men,Sports,Lotto Men OSLO Grey-Orange Shoe
1790,Backpacks,Bags,Accessories,Beige,Unisex,Sports,Quechua Unisex Ultralight Beige Bag
1791,Backpacks,Bags,Accessories,Black,Unisex,Sports,Quechua 10L Black Bag
1792,Backpacks,Bags,Accessories,Blue,Unisex,Sports,Newfeel Marine Blue Bag
1793,Backpacks,Bags,Accessories,Green,Unisex,Travel,Quechua 10L Green Bag
1794,Backpacks,Bags,Accessories,Brown,Unisex,Sports,Newfeel Brown 22L Bag
1795,Backpacks,Bags,Accessories,Black,Men,Sports,Newfeel 22L Black Bag
1796,Tshirts,Topwear,Apparel,Blue,Men,Sports,Domyos Men Performance Blue T-shirt
1798,Tshirts,Topwear,Apparel,Black,Men,Sports,Domyos Men Slt Compression T-shirt
1799,Track Pants,Bottomwear,Apparel,White,Men,Sports,Domyos Men Blue & White Tracksuit
1800,Backpacks,Bags,Accessories,Black,Unisex,Sports,Quechua Unisex Black Solid Backpack
1801,Backpacks,Bags,Accessories,Pink,Women,Sports,Quechua Women 10L Pink Bag
1802,Sports Shoes,Shoes,Footwear,Brown,Men,Sports,Quechua Men's Arpenaz Flex Yellow Shoe
1803,Tshirts,Topwear,Apparel,Black,Unisex,Sports,Tribord Unisex Black T-shirt
1804,Shorts,Bottomwear,Apparel,Black,Men,Sports,Kalenji Men Essential Baggy Black Shorts
1805,Casual Shoes,Shoes,Footwear,Beige,Men,Casual,Quechua Men Forclaz 1OO Beige Shoe
1806,Sandals,Sandal,Footwear,Brown,Men,Casual,Quechua Men Arpenaz Brown Sandal
1807,Tshirts,Topwear,Apparel,Red,Men,Casual,Quechua Men G1 Techfresh Red T-shirt
1808,Water Bottle,Water Bottle,Accessories,Purple,Unisex,Sports,Quechua Aluminium Print Water Bottle
1809,Tshirts,Topwear,Apparel,Blue,Women,Sports,Decathlon Profilter Women Blue T-shirt
1810,Tshirts,Topwear,Apparel,Red,Men,Sports,Tribord Profilter Red Men T-shirt
1811,Tshirts,Topwear,Apparel,Orange,Men,Sports,Solognac Men Orange T-shirt
1812,Tshirts,Topwear,Apparel,Green,Men,Sports,Solognac Men Green T-shirt
1813,Tshirts,Topwear,Apparel,Blue,Men,Sports,Solognac Men Dark Blue T-shirt
1814,Tshirts,Topwear,Apparel,Brown,Men,Sports,Solognac Men Chocolate Brown  T-shirt
1827,Sports Shoes,Shoes,Footwear,White,Men,Sports,Nike Men's Downshifter White/Blue Shoe
1828,Sports Shoes,Shoes,Footwear,White,Men,Sports,Nike Men's Air Afterburner Shoe
1831,Sports Shoes,Shoes,Footwear,Black,Men,Sports,Nike Men's Air Impetus Shoe
1832,Sports Shoes,Shoes,Footwear,Black,Men,Sports,Nike Lunarswift Shoe
1833,Sports Shoes,Shoes,Footwear,Black,Men,Sports,Nike Men's Ballista Shoe
1836,Sports Shoes,Shoes,Footwear,Silver,Men,Sports,Nike Air Visi Sleek Shoes
1841,Sports Shoes,Shoes,Footwear,White,Men,Sports,Puma Men's Calibre Convertible Spike Shoe
1842,Sports Shoes,Shoes,Footwear,White,Men,Sports,Puma Men's Calibre Rubber Shoe
1844,Tshirts,Topwear,Apparel,Blue,Men,Casual,Inkfruit Mens D day T-shirt
1845,Tshirts,Topwear,Apparel,Blue,Men,Casual,Inkfruit Mens Surfer T-shirt
1846,Tshirts,Topwear,Apparel,Blue,Men,Casual,Inkfruit Men Buddha Bless You T-shirt
1847,Tshirts,Topwear,Apparel,Blue,Men,Casual,Inkfruit Mens Messy T-shirt
1848,Tshirts,Topwear,Apparel,Black,Men,Casual,Inkfruit Men Wolf
1849,Tshirts,Topwear,Apparel,White,Men,Casual,Inkfruit Mens Unbreakable Mumbai T-shirt
1852,Tshirts,Topwear,Apparel,Blue,Men,Casual,Inkfruit Men Ride It Or Die T-shirt
1853,Tshirts,Topwear,Apparel,Yellow,Men,Casual,Inkfruit Mens Little Bit More T-shirt
1854,Tshirts,Topwear,Apparel,Purple,Men,Casual,Inkfruit Mens Pencho T-shirt
1855,Tshirts,Topwear,Apparel,Grey,Men,Casual,Inkfruit Mens Chain Reaction T-shirt
1856,Tshirts,Topwear,Apparel,Red,Men,Casual,Inkfruit Men Rebel Without a Clue T-shirt
1857,Tshirts,Topwear,Apparel,Black,Men,Casual,Inkfruit Mens Life After Midnight T-shirt
1859,Tshirts,Topwear,Apparel,Red,Men,Casual,Inkfruit Men Eye Opener T-shirt
1860,Tshirts,Topwear,Apparel,Grey,Men,Casual,Inkfruit Mens Shiva T-shirt
1861,Tshirts,Topwear,Apparel,White,Men,Casual,Inkfruit Men Graff Wars T-shirt
1862,Tshirts,Topwear,Apparel,Grey,Men,Casual,Inkfruit Mens Urban Warfare T-shirt
1863,Tshirts,Topwear,Apparel,Black,Men,Casual,Inkfruit Men Night Wolf T-shirt
1865,Tshirts,Topwear,Apparel,White,Men,Casual,Inkfruit Men Operation Kick
1866,Tshirts,Topwear,Apparel,Maroon,Men,Casual,Inkfruit Mens My Pet T-shirt
1867,Tshirts,Topwear,Apparel,Blue,Men,Casual,Inkfruit Men Nayak Nahi T-shirt
1868,Tshirts,Topwear,Apparel,White,Men,Casual,Inkfruit Mens Facebook Like T-shirt
1869,Tshirts,Topwear,Apparel,Navy Blue,Men,Casual,FIFA Mens 1904 Navy Blue T-shirt
1870,Tshirts,Topwear,Apparel,Black,Men,Casual,FIFA Mens 1990 World Cup Black T-shirt
1871,Tshirts,Topwear,Apparel,White,Men,Casual,FIFA Mens 1990 World Cup White T-shirt
1872,Tshirts,Topwear,Apparel,White,Men,Casual,FIFA Mens 1962 World Cup White T-shirt
1875,Tshirts,Topwear,Apparel,Green,Men,Casual,FIFA Mens 1990 World Cup Edition T-shirt
1876,Tshirts,Topwear,Apparel,White,Men,Casual,FIFA Mens Mexican Wave White T-shirt
1877,Tshirts,Topwear,Apparel,Grey,Men,Casual,FIFA Mens Mexican Wave Grey T-shirt
1879,Tshirts,Topwear,Apparel,Red,Men,Casual,FIFA Mens 1982 Spain Red T-shirt
1880,Tshirts,Topwear,Apparel,Black,Men,Casual,FIFA Mens World Cup Champions Black T-shirt
1881,Tshirts,Topwear,Apparel,Grey,Men,Casual,FIFA Mens France 1938 Grey T-shirt
1882,Tshirts,Topwear,Apparel,Red,Men,Casual,FIFA Mens Code Collection Red T-shirt
1883,Track Pants,Bottomwear,Apparel,Grey,Men,Casual,FIFA Mens Heritage Collection Grey Track Pants
1884,Track Pants,Bottomwear,Apparel,Navy Blue,Men,Casual,FIFA Mens 1905 Heritage Collection Track Pants
1885,Shorts,Bottomwear,Apparel,Grey,Men,Casual,FIFA Mens 1904 Heritage Shorts
1886,Tshirts,Topwear,Apparel,Grey,Men,Casual,FIFA Mens Red Card Grey T-shirt
1887,Tshirts,Topwear,Apparel,Green,Men,Casual,FIFA Mens Essentials Green T-shirt
1888,Tshirts,Topwear,Apparel,Black,Men,Casual,FIFA Mens Essentials Black T-shirt
1889,Tshirts,Topwear,Apparel,Navy Blue,Men,Casual,Fifa Men Essentials Navy Blue T-shirt
1890,Tshirts,Topwear,Apparel,Red,Men,Casual,FIFA Mens Essentials Red T-shirt
1891,Tshirts,Topwear,Apparel,White,Men,Casual,FIFA Mens Essentials White T-shirt
1892,Sweatshirts,Topwear,Apparel,Blue,Men,Casual,FIFA Men Full Sleeves Hoody Sweatshirt
1895,Sweatshirts,Topwear,Apparel,Black,Men,Casual,FIFA Men Full Sleeves Hoody Sweatshirt
1897,Tshirts,Topwear,Apparel,Blue,Men,Sports,FIFA Men Germany Blue Jersey
1902,Tshirts,Topwear,Apparel,Blue,Men,Sports,FIFA Men Blue Jersey
1903,Tshirts,Topwear,Apparel,Yellow,Men,Sports,FIFA Men Brazil Yellow Jersey
1904,Tshirts,Topwear,Apparel,Blue,Men,Sports,FIFA Men Brazil Blue & Yellow Jersey
1905,Tshirts,Topwear,Apparel,Blue,Men,Casual,FIFA Mens 1904 Football Federation T-shirt
1906,Tshirts,Topwear,Apparel,Cream,Men,Casual,FIFA Mens 1905 Football Federation T-shirt
1907,Tshirts,Topwear,Apparel,Black,Men,Sports,Nike Mens Classic Black T-shirt
1909,Tshirts,Topwear,Apparel,Blue,Men,Sports,Nike Mens Classic Sportswear T-shirt
1910,Tshirts,Topwear,Apparel,Black,Men,Sports,Nike Men's Classic Patterned T-shirt
1911,Tshirts,Topwear,Apparel,Blue,Men,Sports,Nike Mens Manchester United Blues T-shirt
1912,Tshirts,Topwear,Apparel,White,Men,Sports,Nike Mens Running White T-shirt
1913,Tshirts,Topwear,Apparel,Black,Men,Sports,Nike Mens Seize Victory Black T-shirt
1915,Water Bottle,Accessories,Accessories,Yellow,Unisex,Casual,Quechua Yellow Sipper
1916,Sports Shoes,Shoes,Footwear,Black,Men,Sports,Puma Men's Game Point Shoes
1917,Casual Shoes,Shoes,Footwear,White,Men,Casual,Puma Men White Sneakers
1918,Backpacks,Bags,Accessories,Blue,Unisex,Sports,Domyos 300 Blue Bag
1919,Casual Shoes,Shoes,Footwear,Brown,Men,Casual,Puma Men's Choco Brown Casual Shoes
1920,Casual Shoes,Shoes,Footwear,Black,Men,Casual,Puma Men Graffiti FX Shoes
1922,Tshirts,Topwear,Apparel,Black,Men,Sports,Puma Mens Slim Fit Black Polo T-shirt
1923,Sports Shoes,Shoes,Footwear,White,Women,Sports,Kalenji Women Running Shoe
1924,Tshirts,Topwear,Apparel,White,Men,Sports,Puma Mens Racing White T-shirt
1925,Backpacks,Bags,Accessories,Black,Unisex,Sports,Quechua Black Bag
1926,Tshirts,Topwear,Apparel,Blue,Men,Casual,Puma Mens Ocean Racing Blues T-shirt
1927,Backpacks,Bags,Accessories,Navy Blue,Unisex,Sports,Domyos Navy Blue Bag
1928,Tshirts,Topwear,Apparel,Green,Men,Casual,Puma Mens One Love T-shirt
1929,Sports Shoes,Shoes,Footwear,Black,Men,Sports,Quechua Men's Lighweight Black Shoe
1930,Backpacks,Bags,Accessories,Red,Unisex,Sports,Quechua 22L Red Bag
1931,Tshirts,Topwear,Apparel,Navy Blue,Men,Casual,Puma Men's Jamaica Jam Navy Blue T-shirt
1932,Casual Shoes,Shoes,Footwear,Grey,Women,Casual,Quechua Women Arpenaz Flex Grey Shoe
1933,Backpacks,Bags,Accessories,Grey,Unisex,Sports,Quechua Arpenaz 20L Dark Grey Bag
1934,Backpacks,Bags,Accessories,Purple,Unisex,Sports,Quechua Forclaz 25L Air Purple Backpack
1935,Backpacks,Bags,Accessories,Black,Unisex,Sports,Quechua 22L Blue Bag
1936,Backpacks,Bags,Accessories,Brown,Unisex,Sports,Quechua Arpenaz 30L Brown Bag
1937,Sports Shoes,Shoes,Footwear,Black,Women,Sports,Kalenji Women Black Pink Shoe
1938,Tshirts,Topwear,Apparel,Blue,Men,Casual,Puma Men's Jamaica Jam Blues T-shirt
1939,Handbags,Bags,Accessories,Blue,Women,Sports,Geonaute Women Large Outdoor Bag Bag
1941,Handbags,Bags,Accessories,Brown,Women,Sports,Domyos Brown Bag
1942,Tshirts,Topwear,Apparel,White,Men,Casual,Puma Mens Reggae All Night White T-shirt
1943,Duffel Bag,Bags,Accessories,Grey,Unisex,Casual,Domyos Grey Duffle Duffle Bag
1944,Tshirts,Topwear,Apparel,Blue,Men,Casual,Puma Mens Reggae All Night Blues T-shirt
1945,Tshirts,Topwear,Apparel,Green,Men,Sports,Puma Mens Reggae All Night Green T-shirt
1946,Tshirts,Topwear,Apparel,Green,Men,Casual,Puma Mens One Love Reggae Polo T-shirt
1947,Tshirts,Topwear,Apparel,Blue,Men,Sports,Puma Mens Cricket Way of Life T-shirt
1948,Tshirts,Topwear,Apparel,Black,Men,Casual,Puma Mens Keyboard Sidebar Black Polo T-shirt
1949,Tshirts,Topwear,Apparel,White,Men,Casual,Puma Mens Keyboard Sidebar White Polo T-shirt
1950,Tshirts,Topwear,Apparel,Black,Men,Casual,Puma Mens Colour Splash T-shirt
1951,Sports Shoes,Shoes,Footwear,Purple,Women,Sports,Puma Women Eco Funky Shoes
1962,Sports Shoes,Shoes,Footwear,White,Men,Sports,ADIDAS Men's Duramo Leather Shoe
1963,Sports Shoes,Shoes,Footwear,White,Men,Sports,ADIDAS Men's Azaro White Shoe
1964,Casual Shoes,Shoes,Footwear,Blue,Men,Casual,ADIDAS Men's Blue Canvas Shoe
1966,Tshirts,Topwear,Apparel,Black,Men,Casual,Domyos Mens Compression Black T-shirt
1972,Tshirts,Topwear,Apparel,White,Men,Sports,Kalenji Mens White T-shirt
1973,Tshirts,Topwear,Apparel,Brown,Men,Casual,Quechua Mens Brown T-shirt
1976,Shorts,Bottomwear,Apparel,White,Men,Casual,Tribord Mens Short Cargo Shorts
1977,Shorts,Bottomwear,Apparel,Grey,Men,Casual,Tribord Mens Grey Cargo Shorts
1978,Tops,Topwear,Apparel,Yellow,Women,Casual,Puma Women Yellow Sleeveless Top
1981,Shorts,Bottomwear,Apparel,Green,Women,Casual,Puma Women's Island Green Shorts
1982,Shorts,Bottomwear,Apparel,Purple,Women,Casual,Puma Women's Island Shorts Purple
1983,Tshirts,Topwear,Apparel,Blue,Women,Casual,ADIDAS Women Graphic Blue T-shirt
1984,Tshirts,Topwear,Apparel,White,Women,Sports,ADIDAS Women Graphic White T-shirt
1985,Tshirts,Topwear,Apparel,Red,Women,Casual,ADIDAS Womens Classic Red T-shirt
1986,Tshirts,Topwear,Apparel,Blue,Women,Sports,ADIDAS Womens Blue V Neck T-shirt
