id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Unnamed: 10,Unnamed: 11,image_path
1545,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Speed Cat Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1545.jpg
1546,Men,Footwear,Shoes,Casual Shoes,White,Fall,2010,Casual,Puma Men's Furore White Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1546.jpg
1547,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2010,Casual,Puma Men's Ducati Sneaker,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1547.jpg
1548,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Cell Exsis Sneaker,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1548.jpg
1549,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Puma Men's Jiyu Slip On Sneaker,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1549.jpg
1550,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Puma Cat Trainer-WBL Football,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1550.jpg
1551,Unisex,Sporting Goods,Sports Equipment,Footballs,Orange,Fall,2010,Sports,Puma Power Cat Trainer-OB Football,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1551.jpg
1552,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Puma Power Cat Trainer-WR Football,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1552.jpg
1553,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Puma Power Cat Hard Ground Football,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1553.jpg
1554,Unisex,Accessories,Water Bottle,Water Bottle,Blue,Fall,2010,Casual,Quechua  Blue Sipper,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1554.jpg
1555,Unisex,Accessories,Water Bottle,Water Bottle,Purple,Fall,2010,Sports,Quechua Red Sipper,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1555.jpg
1556,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Quechua Forclaz Large  Backpack - 50 ltr Orange,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1556.jpg
1557,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Travel,Quechua Spacious Blue-Black Backpack,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1557.jpg
1558,Unisex,Accessories,Water Bottle,Water Bottle,Blue,Fall,2010,Sports,Quechua Easy-to-Carry Blue Water Bottle,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1558.jpg
1559,Unisex,Accessories,Bags,Backpacks,Blue,Summer,2011,Travel,Quechua Blue Light Backpack,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1559.jpg
1561,Women,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Quechua Women Sweat Proof White T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1561.jpg
1562,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010,Sports,Quechua Men Sweat Proof Grey T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1562.jpg
1563,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Quechua Men Sweat Proof Blue T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1563.jpg
1565,Unisex,Accessories,Bags,Backpacks,Green,Summer,2011,Travel,Quechua Green Light Backpack,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1565.jpg
1566,Men,Accessories,Headwear,Caps,Black,Summer,2011,Sports,Artengo Men Black Cap,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1566.jpg
1567,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010,Sports,Artengo Men Training Shorts,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1567.jpg
1569,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010,Sports,Artengo Men Black Tennis Shorts,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1569.jpg
1570,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Artengo Women Tennis Singlet,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1570.jpg
1571,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Kalenji Men's Super Soft Sports Shoes,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1571.jpg
1572,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2010,Sports,Kalenji Mens Essential Training Track Pants,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1572.jpg
1573,Women,Apparel,Bottomwear,Track Pants,Grey,Fall,2010,Sports,Kalenji Women Athletes Grey Track Pants,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1573.jpg
1575,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Kipsta Men Sports White T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1575.jpg
1577,Unisex,Accessories,Headwear,Caps,Green,Fall,2010,Sports,Inesis  Slim Shady Cap,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1577.jpg
1578,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Domyos Men Good Stroke Red T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1578.jpg
1579,Men,Apparel,Topwear,Jackets,Grey,Fall,2010,Sports,Domyos Men Grey Second Skin Jacket,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1579.jpg
1580,Women,Apparel,Bottomwear,Swimwear,Black,Fall,2010,Sports,Nabaiji Women Cross-back Swimsuit,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1580.jpg
1581,Unisex,Accessories,Headwear,Caps,Pink,Summer,2011,Sports,Nabaiji Unisex Silicone Swimming Cap,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1581.jpg
1582,Unisex,Apparel,Bottomwear,Swimwear,Black,Summer,2011,Sports,Nabaiji Unisex Black Silicone Swimming Cap,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1582.jpg
1583,Women,Apparel,Bottomwear,Swimwear,Black,Fall,2010,Sports,Nabaiji Women Black Swimsuit,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1583.jpg
1584,Unisex,Apparel,Topwear,Jackets,White,Summer,2011,Casual,Domyos Unisex Feather-light Jacket,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1584.jpg
1587,Men,Footwear,Shoes,Sports Shoes,White,Spring,2010,Sports,Kipsta Men Superfit Football White Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1587.jpg
1588,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Domyos Men White Dry-Fit T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1588.jpg
1590,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010,Sports,Kipsta Men's F300 Football Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1590.jpg
1591,Men,Apparel,Bottomwear,Shorts,Red,Fall,2010,Sports,Kipsta Men Red Shorts,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1591.jpg
1592,Men,Footwear,Shoes,Sports Shoes,Red,Summer,2011,Sports,Kipsta Men's Superfit Football Red Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1592.jpg
1594,Unisex,Footwear,Shoes,Casual Shoes,Grey,Fall,2012,Casual,Newfeel Unisex Grey Mesh Lightweight Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1594.jpg
1595,Men,Apparel,Topwear,Tshirts,Black,Spring,2010,Sports,Domyos Men Good Stroke Black T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1595.jpg
1596,Men,Accessories,Water Bottle,Water Bottle,Pink,Fall,2010,Sports,Quechua Easy-to-Carry Pink Sipper,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1596.jpg
1597,Women,Accessories,Bags,Handbags,Black,Summer,2011,Travel,Geonaute Women Black Outdoor Bag,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1597.jpg
1598,Women,Accessories,Bags,Handbags,Blue,Summer,2011,Travel,Geonaute Women Blue Outdoor Bag,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1598.jpg
1599,Women,Accessories,Bags,Handbags,Green,Summer,2011,Travel,Geonaute Women Green Outdoor Bag,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1599.jpg
1603,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2010,Casual,Reebok Men Hoops Athletic Navy Sweatshirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1603.jpg
1604,Women,Apparel,Bottomwear,Track Pants,Blue,Fall,2010,Sports,Reebok Track Pants Women Blue,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1604.jpg
1605,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2010,Sports,Reebok Black Track Pant,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1605.jpg
1607,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010,Sports,Reebok Men trackpant- male Track Pants,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1607.jpg
1608,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010,Sports,Reebok Track Pants Jet Black,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1608.jpg
1609,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2010,Sports,Reebok Women Boat-Neck Wildberry Sweatshirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1609.jpg
1610,Women,Apparel,Topwear,Jackets,Navy Blue,Summer,2011,Casual,Reebok Navy Jacket,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1610.jpg
1611,Women,Apparel,Topwear,Jackets,Black,Summer,2010,Sports,Reebok Knit Rib Women Black Jacket,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1611.jpg
1612,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Reebok Orange & White Striped Polo T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1612.jpg
1613,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Casual,Reebok Men White Polo Tshirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1613.jpg
1614,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Reebok T-shirt White Polo Tshirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1614.jpg
1615,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010,Casual,Reebok Men Navy Blue Polo T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1615.jpg
1616,Men,Apparel,Topwear,Tshirts,White,Summer,2010,Sports,Reebok Men's Shoot White T-Shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1616.jpg
1617,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Reebok Men Shoot T-Shirt Red,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1617.jpg
1618,Men,Footwear,Shoes,Sports Shoes,White,Summer,2010,Sports,Reebok Men United Runner White,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1618.jpg
1619,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010,Sports,Reebok Men Micro Shorts Grey and White,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1619.jpg
1620,Men,Apparel,Bottomwear,Shorts,Blue,Fall,2010,Sports,Reebok Men Micro Shorts,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1620.jpg
1621,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2010,Sports,Reebok Men Micro Shorts Black and White,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1621.jpg
1622,Men,Apparel,Topwear,Jackets,Navy Blue,Summer,2016,Casual,Reebok Navy Knit Rib Jacket,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1622.jpg
1623,Unisex,Accessories,Bags,Backpacks,Red,Summer,2011,Casual,Reebok Unisex Red Backpack,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1623.jpg
1624,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011,Sports,Reebok Silver-Black Laptop Backpack,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1624.jpg
1625,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Domyos Men Quick Dry T-shirt,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1625.jpg
1626,Unisex,Sporting Goods,Sports Equipment,Footballs,Blue,Summer,2011,Sports,Kipsta F300 Football Size 5 Football,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1626.jpg
1627,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010,Sports,Kipsta F300 Football,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1627.jpg
1628,Unisex,Sporting Goods,Sports Equipment,Basketballs,Brown,Summer,2011,Sports,Kipsta Xtra Bounce Basketball,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1628.jpg
1634,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Inesis Water Repellent Canaveral Shoes,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1634.jpg
1635,Unisex,Footwear,Shoes,Casual Shoes,Red,Spring,2011,Casual,Newfeel Unisex Red Comfy Shoes,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1635.jpg
1636,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men Air Zoom Century Shoes,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1636.jpg
1637,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men White Cricket Shoes,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1637.jpg
1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Fall,2010,Sports,Nabaiji Swimming Goggles Blue Black,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1638.jpg
1641,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2010,Sports,Reebok Men's Hex Run Pure Silver Shoe,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1641.jpg
1642,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Reebok Men Winning Stride White Red,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1642.jpg
1644,Men,Apparel,Topwear,Tshirts,Red,Fall,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Red,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1644.jpg
1645,Men,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Kipsta Men Loose Fit Round Neck Jersey Black,,,/Users/_thu_thuu/Desktop/RMIT/2026sem2/machine learning/Fashion-Intelligence-System-1/A2_FashionDataset/FashionDataset/train/images_train/1645.jpg
