,precision,recall,f1-score,support
Lounge Pants,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0
Lounge Shorts,1.0,0.25,0.4,4.0
Messenger Bag,0.0,0.0,0.0,6.0
Mobile Pouch,1.0,0.16666666666666666,0.2857142857142857,6.0
Mufflers,1.0,0.3333333333333333,0.5,6.0
Nail Polish,1.0,0.6666666666666666,0.8,3.0
Necklace and Chains,1.0,0.8888888888888888,0.9411764705882353,9.0
Night suits,0.5454545454545454,0.6,0.5714285714285714,10.0
Nightdress,0.0,0.0,0.0,6.0
Patiala,0.6666666666666666,0.5,0.5714285714285714,4.0
Pendant,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
Perfume and Body Mist,0.875,0.8860759493670886,0.8805031446540881,79.0
Ring,0.8571428571428571,1.0,0.9230769230769231,6.0
Rompers,1.0,1.0,1.0,1.0
Rucksacks,0.0,0.0,0.0,1.0
Salwar,0.5,0.25,0.3333333333333333,4.0
Sandals,0.8571428571428571,0.8292682926829268,0.8429752066115702,123.0
Sarees,0.9130434782608695,1.0,0.9545454545454546,21.0
Scarves,0.7222222222222222,0.8125,0.7647058823529411,16.0
Shirts,0.9327548806941431,0.9750566893424036,0.9534368070953437,441.0
Shoe Accessories,0.0,0.0,0.0,3.0
Shorts,0.8068181818181818,0.9466666666666667,0.8711656441717791,75.0
Skirts,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
Socks,0.9325842696629213,0.9431818181818182,0.9378531073446328,88.0
Sports Sandals,0.0,0.0,0.0,9.0
Sports Shoes,0.826797385620915,0.887719298245614,0.856175972927242,285.0
Stockings,1.0,1.0,1.0,3.0
Stoles,1.0,0.5384615384615384,0.7,13.0
Sunglasses,0.9738562091503268,1.0,0.9867549668874173,149.0
Suspenders,1.0,0.8333333333333334,0.9090909090909091,6.0
Sweaters,0.8387096774193549,0.65,0.7323943661971831,40.0
Sweatshirts,0.6808510638297872,0.8,0.735632183908046,40.0
Swimwear,0.0,0.0,0.0,2.0
Ties,1.0,1.0,1.0,31.0
Tops,0.7676348547717843,0.8008658008658008,0.7838983050847458,231.0
Track Pants,0.8947368421052632,0.7906976744186046,0.8395061728395061,43.0
Tracksuits,1.0,1.0,1.0,4.0
Travel Accessory,0.0,0.0,0.0,2.0
Trousers,0.8192771084337349,0.9315068493150684,0.8717948717948718,73.0
Trunk,0.8636363636363636,0.95,0.9047619047619048,20.0
Tshirts,0.9361483007209063,0.9518324607329843,0.9439252336448598,955.0
Tunics,1.0,0.2,0.3333333333333333,25.0
Waist Pouch,0.0,0.0,0.0,2.0
Waistcoat,0.0,0.0,0.0,2.0
Wallets,0.8702290076335878,0.9661016949152542,0.9156626506024096,118.0
Watches,0.9723926380368099,0.9875389408099688,0.9799072642967542,321.0
Water Bottle,0.0,0.0,0.0,2.0
accuracy,0.8815286624203822,0.8815286624203822,0.8815286624203822,0.8815286624203822
macro avg,0.6990931737722874,0.625597864298241,0.6379881125150632,5495.0
weighted avg,0.8716239747699203,0.8815286624203822,0.870602599326318,5495.0
