repeat,file,ingest,truth,truth_family,predicted,confidence,predicted_family,top3,correct,family_correct,in_top3
0,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
0,Collier_ruban_or_vermeil_2.webp,squash,Necklace and Chains,Jewellery,Briefs,0.1876,Shoes,Briefs | Casual Shoes | Bra,False,False,False
0,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,nobg,Casual Shoes,Shoes,Socks,0.7878,Socks,Socks | Briefs | Sunglasses,False,False,False
0,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,squash,Casual Shoes,Shoes,Socks,0.1871,Innerwear,Socks | Briefs | Watches,False,False,False
0,images (1).jpg,nobg,Dresses,Dress,Tshirts,0.208,Topwear,Tshirts | Night suits | Kurta Sets,False,False,False
0,images (1).jpg,squash,Dresses,Dress,Tops,0.0724,Topwear,Tops | Ties | Kurtas,False,False,False
0,images (10).jpg,nobg,Sports Shoes,Shoes,Socks,0.1792,Shoes,Socks | Casual Shoes | Heels,False,True,False
0,images (10).jpg,squash,Sports Shoes,Shoes,Watches,0.1652,Watches,Watches | Socks | Briefs,False,False,False
0,images (11).jpg,nobg,Handbags,Bags,Backpacks,0.4196,Bags,Backpacks | Handbags | Dresses,False,True,True
0,images (11).jpg,squash,Handbags,Bags,Watches,0.1545,Bags,Watches | Nightdress | Backpacks,False,True,False
0,images (3).jpg,nobg,Caps,Headwear,Belts,0.1372,Shoes,Belts | Sandals | Heels,False,False,False
0,images (3).jpg,squash,Caps,Headwear,Casual Shoes,0.278,Shoes,Casual Shoes | Heels | Sandals,False,False,False
0,images (4).jpg,nobg,Pendant,Jewellery,Briefs,0.6814,Innerwear,Briefs | Heels | Socks,False,False,False
0,images (4).jpg,squash,Pendant,Jewellery,Casual Shoes,0.2152,Shoes,Casual Shoes | Formal Shoes | Heels,False,False,False
0,images (5).jpg,nobg,Necklace and Chains,Jewellery,Casual Shoes,0.1326,Jewellery,Casual Shoes | Necklace and Chains | Belts,False,True,True
0,images (5).jpg,squash,Necklace and Chains,Jewellery,Pendant,0.1844,Jewellery,Pendant | Necklace and Chains | Casual Shoes,False,True,True
0,images (6).jpg,nobg,Heels,Shoes,Heels,0.4256,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
0,images (6).jpg,squash,Heels,Shoes,Heels,0.3479,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
0,images (7).jpg,nobg,Ties,Ties,Socks,0.11,Topwear,Socks | Heels | Tshirts,False,False,False
0,images (7).jpg,squash,Ties,Ties,Tshirts,0.4109,Topwear,Tshirts | Shirts | Briefs,False,False,False
0,images (8).jpg,nobg,Earrings,Jewellery,Caps,0.3447,Headwear,Caps | Ring | Earrings,False,False,True
0,images (8).jpg,squash,Earrings,Jewellery,Tops,0.7299,Topwear,Tops | Tshirts | Earrings,False,False,True
0,images (9).jpg,nobg,Casual Shoes,Shoes,Sports Shoes,0.3314,Shoes,Sports Shoes | Sunglasses | Casual Shoes,False,True,True
0,images (9).jpg,squash,Casual Shoes,Shoes,Casual Shoes,0.2302,Shoes,Casual Shoes | Heels | Sports Shoes,True,True,True
0,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,nobg,Jackets,Topwear,Tracksuits,0.097,Bottomwear,Tracksuits | Night suits | Dupatta,False,False,False
0,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,squash,Jackets,Topwear,Kurtas,0.3361,Topwear,Kurtas | Dupatta | Kurtis,False,True,False
0,nike-5644799_640.jpg,nobg,Casual Shoes,Shoes,Watches,0.366,Watches,Watches | Socks | Mufflers,False,False,False
0,nike-5644799_640.jpg,squash,Casual Shoes,Shoes,Watches,0.3834,Watches,Watches | Shirts | Backpacks,False,False,False
0,The_dress_blueblackwhitegold.jpg,nobg,Dresses,Dress,Watches,0.2323,Watches,Watches | Deodorant | Free Gifts,False,False,False
0,The_dress_blueblackwhitegold.jpg,squash,Dresses,Dress,Watches,0.1794,Topwear,Watches | Tops | Shirts,False,False,False
1,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
1,25637193-carousel-block-earrings-v1.webp,nobg,Earrings,Jewellery,Sunglasses,0.3935,Eyewear,Sunglasses | Socks | Scarves,False,False,False
1,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,nobg,Socks,Socks,Socks,0.9707,Socks,Socks | Sports Shoes | Watches,True,True,True
1,4793e3cb1e694edeb25651fb1ae578e6.jpg,nobg,Ties,Ties,Watches,0.5139,Watches,Watches | Free Gifts | Dresses,False,False,False
1,600_google-pattern-socks.jpg,nobg,Socks,Socks,Socks,0.8035,Socks,Socks | Flip Flops | Jeans,True,True,True
1,83123110.webp,nobg,Earrings,Jewellery,Watches,0.3168,Watches,Watches | Sandals | Flip Flops,False,False,False
1,ae9d94dee29112613a6fae774382a2d4.jpg,nobg,Jackets,Topwear,Kurtas,0.224,Topwear,Kurtas | Dresses | Nightdress,False,True,False
1,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,nobg,Dresses,Dress,Backpacks,0.751,Bags,Backpacks | Sarees | Free Gifts,False,False,False
1,Collier_ruban_or_vermeil_2.webp,nobg,Necklace and Chains,Jewellery,Briefs,0.3102,Innerwear,Briefs | Heels | Sunglasses,False,False,False
1,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,nobg,Casual Shoes,Shoes,Socks,0.7878,Socks,Socks | Briefs | Sunglasses,False,False,False
1,images (1).jpg,nobg,Dresses,Dress,Tshirts,0.208,Topwear,Tshirts | Night suits | Kurta Sets,False,False,False
1,images (10).jpg,nobg,Sports Shoes,Shoes,Socks,0.1792,Shoes,Socks | Casual Shoes | Heels,False,True,False
1,images (11).jpg,nobg,Handbags,Bags,Backpacks,0.4196,Bags,Backpacks | Handbags | Dresses,False,True,True
1,images (3).jpg,nobg,Caps,Headwear,Belts,0.1372,Shoes,Belts | Sandals | Heels,False,False,False
1,images (4).jpg,nobg,Pendant,Jewellery,Briefs,0.6814,Innerwear,Briefs | Heels | Socks,False,False,False
1,images (5).jpg,nobg,Necklace and Chains,Jewellery,Casual Shoes,0.1326,Jewellery,Casual Shoes | Necklace and Chains | Belts,False,True,True
1,images (6).jpg,nobg,Heels,Shoes,Heels,0.4256,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
1,images (7).jpg,nobg,Ties,Ties,Socks,0.11,Topwear,Socks | Heels | Tshirts,False,False,False
1,images (8).jpg,nobg,Earrings,Jewellery,Caps,0.3447,Headwear,Caps | Ring | Earrings,False,False,True
1,images (9).jpg,nobg,Casual Shoes,Shoes,Sports Shoes,0.3314,Shoes,Sports Shoes | Sunglasses | Casual Shoes,False,True,True
1,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,nobg,Jackets,Topwear,Tracksuits,0.097,Bottomwear,Tracksuits | Night suits | Dupatta,False,False,False
1,nike-5644799_640.jpg,nobg,Casual Shoes,Shoes,Watches,0.366,Watches,Watches | Socks | Mufflers,False,False,False
1,The_dress_blueblackwhitegold.jpg,nobg,Dresses,Dress,Watches,0.2323,Watches,Watches | Deodorant | Free Gifts,False,False,False
2,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
2,25637193-carousel-block-earrings-v1.webp,nobg,Earrings,Jewellery,Sunglasses,0.3935,Eyewear,Sunglasses | Socks | Scarves,False,False,False
2,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,nobg,Socks,Socks,Socks,0.9707,Socks,Socks | Sports Shoes | Watches,True,True,True
2,4793e3cb1e694edeb25651fb1ae578e6.jpg,nobg,Ties,Ties,Watches,0.5139,Watches,Watches | Free Gifts | Dresses,False,False,False
2,600_google-pattern-socks.jpg,nobg,Socks,Socks,Socks,0.8035,Socks,Socks | Flip Flops | Jeans,True,True,True
2,83123110.webp,nobg,Earrings,Jewellery,Watches,0.3168,Watches,Watches | Sandals | Flip Flops,False,False,False
2,ae9d94dee29112613a6fae774382a2d4.jpg,nobg,Jackets,Topwear,Kurtas,0.224,Topwear,Kurtas | Dresses | Nightdress,False,True,False
2,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,nobg,Dresses,Dress,Backpacks,0.751,Bags,Backpacks | Sarees | Free Gifts,False,False,False
2,Collier_ruban_or_vermeil_2.webp,nobg,Necklace and Chains,Jewellery,Briefs,0.3102,Innerwear,Briefs | Heels | Sunglasses,False,False,False
2,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,nobg,Casual Shoes,Shoes,Socks,0.7878,Socks,Socks | Briefs | Sunglasses,False,False,False
2,images (1).jpg,nobg,Dresses,Dress,Tshirts,0.208,Topwear,Tshirts | Night suits | Kurta Sets,False,False,False
2,images (10).jpg,nobg,Sports Shoes,Shoes,Socks,0.1792,Shoes,Socks | Casual Shoes | Heels,False,True,False
2,images (11).jpg,nobg,Handbags,Bags,Backpacks,0.4196,Bags,Backpacks | Handbags | Dresses,False,True,True
2,images (3).jpg,nobg,Caps,Headwear,Belts,0.1372,Shoes,Belts | Sandals | Heels,False,False,False
2,images (4).jpg,nobg,Pendant,Jewellery,Briefs,0.6814,Innerwear,Briefs | Heels | Socks,False,False,False
2,images (5).jpg,nobg,Necklace and Chains,Jewellery,Casual Shoes,0.1326,Jewellery,Casual Shoes | Necklace and Chains | Belts,False,True,True
2,images (6).jpg,nobg,Heels,Shoes,Heels,0.4256,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
2,images (7).jpg,nobg,Ties,Ties,Socks,0.11,Topwear,Socks | Heels | Tshirts,False,False,False
2,images (8).jpg,nobg,Earrings,Jewellery,Caps,0.3447,Headwear,Caps | Ring | Earrings,False,False,True
2,images (9).jpg,nobg,Casual Shoes,Shoes,Sports Shoes,0.3314,Shoes,Sports Shoes | Sunglasses | Casual Shoes,False,True,True
2,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,nobg,Jackets,Topwear,Tracksuits,0.097,Bottomwear,Tracksuits | Night suits | Dupatta,False,False,False
2,nike-5644799_640.jpg,nobg,Casual Shoes,Shoes,Watches,0.366,Watches,Watches | Socks | Mufflers,False,False,False
2,The_dress_blueblackwhitegold.jpg,nobg,Dresses,Dress,Watches,0.2323,Watches,Watches | Deodorant | Free Gifts,False,False,False
3,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
3,25637193-carousel-block-earrings-v1.webp,nobg,Earrings,Jewellery,Sunglasses,0.3935,Eyewear,Sunglasses | Socks | Scarves,False,False,False
3,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,nobg,Socks,Socks,Socks,0.9707,Socks,Socks | Sports Shoes | Watches,True,True,True
3,4793e3cb1e694edeb25651fb1ae578e6.jpg,nobg,Ties,Ties,Watches,0.5139,Watches,Watches | Free Gifts | Dresses,False,False,False
3,600_google-pattern-socks.jpg,nobg,Socks,Socks,Socks,0.8035,Socks,Socks | Flip Flops | Jeans,True,True,True
3,83123110.webp,nobg,Earrings,Jewellery,Watches,0.3168,Watches,Watches | Sandals | Flip Flops,False,False,False
3,ae9d94dee29112613a6fae774382a2d4.jpg,nobg,Jackets,Topwear,Kurtas,0.224,Topwear,Kurtas | Dresses | Nightdress,False,True,False
3,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,nobg,Dresses,Dress,Backpacks,0.751,Bags,Backpacks | Sarees | Free Gifts,False,False,False
3,Collier_ruban_or_vermeil_2.webp,nobg,Necklace and Chains,Jewellery,Briefs,0.3102,Innerwear,Briefs | Heels | Sunglasses,False,False,False
3,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,nobg,Casual Shoes,Shoes,Socks,0.7878,Socks,Socks | Briefs | Sunglasses,False,False,False
3,images (1).jpg,nobg,Dresses,Dress,Tshirts,0.208,Topwear,Tshirts | Night suits | Kurta Sets,False,False,False
3,images (10).jpg,nobg,Sports Shoes,Shoes,Socks,0.1792,Shoes,Socks | Casual Shoes | Heels,False,True,False
3,images (11).jpg,nobg,Handbags,Bags,Backpacks,0.4196,Bags,Backpacks | Handbags | Dresses,False,True,True
3,images (3).jpg,nobg,Caps,Headwear,Belts,0.1372,Shoes,Belts | Sandals | Heels,False,False,False
3,images (4).jpg,nobg,Pendant,Jewellery,Briefs,0.6814,Innerwear,Briefs | Heels | Socks,False,False,False
3,images (5).jpg,nobg,Necklace and Chains,Jewellery,Casual Shoes,0.1326,Jewellery,Casual Shoes | Necklace and Chains | Belts,False,True,True
3,images (6).jpg,nobg,Heels,Shoes,Heels,0.4256,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
3,images (7).jpg,nobg,Ties,Ties,Socks,0.11,Topwear,Socks | Heels | Tshirts,False,False,False
3,images (8).jpg,nobg,Earrings,Jewellery,Caps,0.3447,Headwear,Caps | Ring | Earrings,False,False,True
3,images (9).jpg,nobg,Casual Shoes,Shoes,Sports Shoes,0.3314,Shoes,Sports Shoes | Sunglasses | Casual Shoes,False,True,True
3,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,nobg,Jackets,Topwear,Tracksuits,0.097,Bottomwear,Tracksuits | Night suits | Dupatta,False,False,False
3,nike-5644799_640.jpg,nobg,Casual Shoes,Shoes,Watches,0.366,Watches,Watches | Socks | Mufflers,False,False,False
3,The_dress_blueblackwhitegold.jpg,nobg,Dresses,Dress,Watches,0.2323,Watches,Watches | Deodorant | Free Gifts,False,False,False
4,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
4,25637193-carousel-block-earrings-v1.webp,nobg,Earrings,Jewellery,Sunglasses,0.3935,Eyewear,Sunglasses | Socks | Scarves,False,False,False
4,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,nobg,Socks,Socks,Socks,0.9707,Socks,Socks | Sports Shoes | Watches,True,True,True
4,4793e3cb1e694edeb25651fb1ae578e6.jpg,nobg,Ties,Ties,Watches,0.5139,Watches,Watches | Free Gifts | Dresses,False,False,False
4,600_google-pattern-socks.jpg,nobg,Socks,Socks,Socks,0.8035,Socks,Socks | Flip Flops | Jeans,True,True,True
4,83123110.webp,nobg,Earrings,Jewellery,Watches,0.3168,Watches,Watches | Sandals | Flip Flops,False,False,False
4,ae9d94dee29112613a6fae774382a2d4.jpg,nobg,Jackets,Topwear,Kurtas,0.224,Topwear,Kurtas | Dresses | Nightdress,False,True,False
4,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,nobg,Dresses,Dress,Backpacks,0.751,Bags,Backpacks | Sarees | Free Gifts,False,False,False
4,Collier_ruban_or_vermeil_2.webp,nobg,Necklace and Chains,Jewellery,Briefs,0.3102,Innerwear,Briefs | Heels | Sunglasses,False,False,False
4,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,nobg,Casual Shoes,Shoes,Socks,0.7878,Socks,Socks | Briefs | Sunglasses,False,False,False
4,images (1).jpg,nobg,Dresses,Dress,Tshirts,0.208,Topwear,Tshirts | Night suits | Kurta Sets,False,False,False
4,images (10).jpg,nobg,Sports Shoes,Shoes,Socks,0.1792,Shoes,Socks | Casual Shoes | Heels,False,True,False
4,images (11).jpg,nobg,Handbags,Bags,Backpacks,0.4196,Bags,Backpacks | Handbags | Dresses,False,True,True
4,images (3).jpg,nobg,Caps,Headwear,Belts,0.1372,Shoes,Belts | Sandals | Heels,False,False,False
4,images (4).jpg,nobg,Pendant,Jewellery,Briefs,0.6814,Innerwear,Briefs | Heels | Socks,False,False,False
4,images (5).jpg,nobg,Necklace and Chains,Jewellery,Casual Shoes,0.1326,Jewellery,Casual Shoes | Necklace and Chains | Belts,False,True,True
4,images (6).jpg,nobg,Heels,Shoes,Heels,0.4256,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
4,images (7).jpg,nobg,Ties,Ties,Socks,0.11,Topwear,Socks | Heels | Tshirts,False,False,False
4,images (8).jpg,nobg,Earrings,Jewellery,Caps,0.3447,Headwear,Caps | Ring | Earrings,False,False,True
4,images (9).jpg,nobg,Casual Shoes,Shoes,Sports Shoes,0.3314,Shoes,Sports Shoes | Sunglasses | Casual Shoes,False,True,True
4,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,nobg,Jackets,Topwear,Tracksuits,0.097,Bottomwear,Tracksuits | Night suits | Dupatta,False,False,False
4,nike-5644799_640.jpg,nobg,Casual Shoes,Shoes,Watches,0.366,Watches,Watches | Socks | Mufflers,False,False,False
4,The_dress_blueblackwhitegold.jpg,nobg,Dresses,Dress,Watches,0.2323,Watches,Watches | Deodorant | Free Gifts,False,False,False
5,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
5,25637193-carousel-block-earrings-v1.webp,nobg,Earrings,Jewellery,Sunglasses,0.3935,Eyewear,Sunglasses | Socks | Scarves,False,False,False
5,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,nobg,Socks,Socks,Socks,0.9707,Socks,Socks | Sports Shoes | Watches,True,True,True
5,4793e3cb1e694edeb25651fb1ae578e6.jpg,nobg,Ties,Ties,Watches,0.5139,Watches,Watches | Free Gifts | Dresses,False,False,False
5,600_google-pattern-socks.jpg,nobg,Socks,Socks,Socks,0.8035,Socks,Socks | Flip Flops | Jeans,True,True,True
5,83123110.webp,nobg,Earrings,Jewellery,Watches,0.3168,Watches,Watches | Sandals | Flip Flops,False,False,False
5,ae9d94dee29112613a6fae774382a2d4.jpg,nobg,Jackets,Topwear,Kurtas,0.224,Topwear,Kurtas | Dresses | Nightdress,False,True,False
5,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,nobg,Dresses,Dress,Backpacks,0.751,Bags,Backpacks | Sarees | Free Gifts,False,False,False
5,Collier_ruban_or_vermeil_2.webp,nobg,Necklace and Chains,Jewellery,Briefs,0.3102,Innerwear,Briefs | Heels | Sunglasses,False,False,False
5,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,nobg,Casual Shoes,Shoes,Socks,0.7878,Socks,Socks | Briefs | Sunglasses,False,False,False
5,images (1).jpg,nobg,Dresses,Dress,Tshirts,0.208,Topwear,Tshirts | Night suits | Kurta Sets,False,False,False
5,images (10).jpg,nobg,Sports Shoes,Shoes,Socks,0.1792,Shoes,Socks | Casual Shoes | Heels,False,True,False
5,images (11).jpg,nobg,Handbags,Bags,Backpacks,0.4196,Bags,Backpacks | Handbags | Dresses,False,True,True
5,images (3).jpg,nobg,Caps,Headwear,Belts,0.1372,Shoes,Belts | Sandals | Heels,False,False,False
5,images (4).jpg,nobg,Pendant,Jewellery,Briefs,0.6814,Innerwear,Briefs | Heels | Socks,False,False,False
5,images (5).jpg,nobg,Necklace and Chains,Jewellery,Casual Shoes,0.1326,Jewellery,Casual Shoes | Necklace and Chains | Belts,False,True,True
5,images (6).jpg,nobg,Heels,Shoes,Heels,0.4256,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
5,images (7).jpg,nobg,Ties,Ties,Socks,0.11,Topwear,Socks | Heels | Tshirts,False,False,False
5,images (8).jpg,nobg,Earrings,Jewellery,Caps,0.3447,Headwear,Caps | Ring | Earrings,False,False,True
5,images (9).jpg,nobg,Casual Shoes,Shoes,Sports Shoes,0.3314,Shoes,Sports Shoes | Sunglasses | Casual Shoes,False,True,True
5,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,nobg,Jackets,Topwear,Tracksuits,0.097,Bottomwear,Tracksuits | Night suits | Dupatta,False,False,False
5,nike-5644799_640.jpg,nobg,Casual Shoes,Shoes,Watches,0.366,Watches,Watches | Socks | Mufflers,False,False,False
5,The_dress_blueblackwhitegold.jpg,nobg,Dresses,Dress,Watches,0.2323,Watches,Watches | Deodorant | Free Gifts,False,False,False
6,1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,nobg,Dresses,Dress,Dresses,0.3432,Dress,Dresses | Kurta Sets | Sarees,True,True,True
6,25637193-carousel-block-earrings-v1.webp,nobg,Earrings,Jewellery,Sunglasses,0.3935,Eyewear,Sunglasses | Socks | Scarves,False,False,False
6,3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,nobg,Socks,Socks,Socks,0.9707,Socks,Socks | Sports Shoes | Watches,True,True,True
6,4793e3cb1e694edeb25651fb1ae578e6.jpg,nobg,Ties,Ties,Watches,0.5139,Watches,Watches | Free Gifts | Dresses,False,False,False
6,600_google-pattern-socks.jpg,nobg,Socks,Socks,Socks,0.8035,Socks,Socks | Flip Flops | Jeans,True,True,True
6,83123110.webp,nobg,Earrings,Jewellery,Watches,0.3168,Watches,Watches | Sandals | Flip Flops,False,False,False
6,ae9d94dee29112613a6fae774382a2d4.jpg,nobg,Jackets,Topwear,Kurtas,0.224,Topwear,Kurtas | Dresses | Nightdress,False,True,False
6,Afternoon_ensemble_MET_63.212a-b_CP4.jpg,nobg,Dresses,Dress,Backpacks,0.751,Bags,Backpacks | Sarees | Free Gifts,False,False,False
6,Collier_ruban_or_vermeil_2.webp,nobg,Necklace and Chains,Jewellery,Briefs,0.3102,Innerwear,Briefs | Heels | Sunglasses,False,False,False
6,giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,nobg,Casual Shoes,Shoes,Socks,0.7878,Socks,Socks | Briefs | Sunglasses,False,False,False
6,images (1).jpg,nobg,Dresses,Dress,Tshirts,0.208,Topwear,Tshirts | Night suits | Kurta Sets,False,False,False
6,images (10).jpg,nobg,Sports Shoes,Shoes,Socks,0.1792,Shoes,Socks | Casual Shoes | Heels,False,True,False
6,images (11).jpg,nobg,Handbags,Bags,Backpacks,0.4196,Bags,Backpacks | Handbags | Dresses,False,True,True
6,images (3).jpg,nobg,Caps,Headwear,Belts,0.1372,Shoes,Belts | Sandals | Heels,False,False,False
6,images (4).jpg,nobg,Pendant,Jewellery,Briefs,0.6814,Innerwear,Briefs | Heels | Socks,False,False,False
6,images (5).jpg,nobg,Necklace and Chains,Jewellery,Casual Shoes,0.1326,Jewellery,Casual Shoes | Necklace and Chains | Belts,False,True,True
6,images (6).jpg,nobg,Heels,Shoes,Heels,0.4256,Shoes,Heels | Casual Shoes | Formal Shoes,True,True,True
6,images (7).jpg,nobg,Ties,Ties,Socks,0.11,Topwear,Socks | Heels | Tshirts,False,False,False
6,images (8).jpg,nobg,Earrings,Jewellery,Caps,0.3447,Headwear,Caps | Ring | Earrings,False,False,True
6,images (9).jpg,nobg,Casual Shoes,Shoes,Sports Shoes,0.3314,Shoes,Sports Shoes | Sunglasses | Casual Shoes,False,True,True
6,mygoods_34_475601_3x4-ezgif.com-avif-to-jpg-converter-1.jpg,nobg,Jackets,Topwear,Tracksuits,0.097,Bottomwear,Tracksuits | Night suits | Dupatta,False,False,False
6,nike-5644799_640.jpg,nobg,Casual Shoes,Shoes,Watches,0.366,Watches,Watches | Socks | Mufflers,False,False,False
6,The_dress_blueblackwhitegold.jpg,nobg,Dresses,Dress,Watches,0.2323,Watches,Watches | Deodorant | Free Gifts,False,False,False
