id,articleType,confidence,alt1,alt1_confidence,alt2,alt2_confidence,family,family_confidence,label_before_prior_correction,flags
53141,Flats,0.5992,Heels,0.3531,Pendant,0.0028,Shoes,0.9536,Heels,changed_by_prior
53142,Flats,0.6542,Heels,0.3249,Shoe Accessories,0.0027,Shoes,0.9794,Heels,changed_by_prior
53248,Trousers,0.3244,Jeans,0.1588,Lounge Pants,0.0714,Bottomwear,0.5777,Trousers,low_confidence
53264,Waistcoat,0.1515,Shirts,0.1386,Tshirts,0.1384,Topwear,0.5453,Shirts,low_confidence|changed_by_prior
53269,Tshirts,0.3138,Shirts,0.1934,Flats,0.0224,Topwear,0.5453,Tshirts,low_confidence
53278,Shirts,0.4796,Tshirts,0.0974,Tops,0.035,Topwear,0.6512,Shirts,low_confidence
53313,Tshirts,0.3903,Innerwear Vests,0.0557,Perfume and Body Mist,0.0368,Topwear,0.466,Tshirts,low_confidence
53357,Perfume and Body Mist,0.4342,Socks,0.1263,Shoe Accessories,0.1163,Fragrance,0.4362,Socks,low_confidence|changed_by_prior
53363,Handbags,0.6692,Duffel Bag,0.2287,Clutches,0.0157,Bags,0.935,Duffel Bag,changed_by_prior
53376,Waist Pouch,0.3508,Handbags,0.2927,Perfume and Body Mist,0.1956,Bags,0.7252,Handbags,low_confidence|changed_by_prior
53378,Flip Flops,0.3033,Flats,0.2735,Heels,0.1959,Shoes,0.475,Flip Flops,low_confidence|family_disagrees
53379,Sandals,0.4712,Sports Sandals,0.3424,Flats,0.04,Sandal,0.8136,Sandals,low_confidence
53392,Tops,0.4925,Dresses,0.2525,Kurtas,0.0719,Topwear,0.651,Tops,low_confidence
53402,Tops,0.306,Dresses,0.2117,Tunics,0.2049,Topwear,0.6645,Tops,low_confidence
53412,Kurtas,0.2701,Tunics,0.1757,Dresses,0.0611,Topwear,0.5411,Kurtas,low_confidence
53429,Kurtas,0.4202,Dresses,0.2445,Tunics,0.0695,Topwear,0.5359,Kurtas,low_confidence
53436,Sports Shoes,0.4801,Casual Shoes,0.1017,Kurta Sets,0.0198,Shoes,0.601,Sports Shoes,low_confidence
53438,Sports Shoes,0.3787,Casual Shoes,0.3488,Pendant,0.0108,Shoes,0.7335,Sports Shoes,low_confidence
53439,Flip Flops,0.4129,Flats,0.3829,Heels,0.0491,Shoes,0.4351,Flip Flops,low_confidence|family_disagrees
53442,Flats,0.6696,Flip Flops,0.1319,Heels,0.1008,Shoes,0.7719,Flip Flops,changed_by_prior
53445,Flip Flops,0.4402,Flats,0.2846,Heels,0.0652,Flip Flops,0.4402,Flip Flops,low_confidence
53449,Flip Flops,0.4635,Flats,0.2675,Heels,0.0244,Flip Flops,0.4635,Flip Flops,low_confidence
53452,Casual Shoes,0.3833,Flats,0.3611,Heels,0.1467,Shoes,0.8929,Casual Shoes,low_confidence
53453,Flats,0.3271,Heels,0.2981,Casual Shoes,0.269,Shoes,0.8966,Casual Shoes,low_confidence|changed_by_prior
53454,Flats,0.565,Heels,0.3645,Perfume and Body Mist,0.0048,Shoes,0.931,Heels,changed_by_prior
53455,Flats,0.518,Heels,0.2946,Flip Flops,0.0449,Shoes,0.815,Heels,changed_by_prior
53456,Heels,0.3788,Flats,0.3492,Casual Shoes,0.0408,Shoes,0.7732,Heels,low_confidence
53462,Bra,0.2977,Dresses,0.2277,Sarees,0.0607,Innerwear,0.3314,Bra,low_confidence
53484,Briefs,0.3739,Swimwear,0.0894,Bra,0.0669,Innerwear,0.4587,Briefs,low_confidence
53485,Briefs,0.259,Tshirts,0.169,Bra,0.1207,Innerwear,0.3966,Tshirts,low_confidence|changed_by_prior
53487,Bra,0.7041,Tshirts,0.0954,Camisoles,0.0313,Innerwear,0.7505,Tshirts,changed_by_prior
53488,Briefs,0.2284,Tops,0.1114,Swimwear,0.0749,Innerwear,0.3105,Tops,low_confidence|changed_by_prior
53489,Briefs,0.1933,Bra,0.1508,Tops,0.0598,Innerwear,0.3817,Tshirts,low_confidence|changed_by_prior
53541,Briefs,0.3053,Sarees,0.1916,Nightdress,0.0774,Innerwear,0.349,Briefs,low_confidence
53580,Free Gifts,0.6538,Watches,0.2967,Sarees,0.0028,Free Gifts,0.6538,Watches,changed_by_prior
53581,Free Gifts,0.4995,Watches,0.4357,Sarees,0.0044,Free Gifts,0.4995,Watches,low_confidence|changed_by_prior
53636,Casual Shoes,0.3656,Sports Shoes,0.2314,Pendant,0.0154,Shoes,0.6128,Casual Shoes,low_confidence
53637,Sports Shoes,0.2439,Casual Shoes,0.2084,Flats,0.0239,Shoes,0.484,Sports Shoes,low_confidence
53724,Flip Flops,0.4638,Flats,0.3496,Heels,0.075,Flip Flops,0.4638,Flip Flops,low_confidence
53725,Heels,0.4033,Flats,0.3968,Flip Flops,0.027,Shoes,0.8013,Heels,low_confidence
53726,Flats,0.4662,Flip Flops,0.2837,Heels,0.0977,Shoes,0.5651,Flip Flops,low_confidence|changed_by_prior
53727,Flats,0.5543,Casual Shoes,0.1455,Heels,0.0768,Shoes,0.7827,Casual Shoes,changed_by_prior
53729,Flats,0.3201,Casual Shoes,0.1638,Sports Sandals,0.0551,Shoes,0.6041,Casual Shoes,low_confidence|changed_by_prior
53731,Casual Shoes,0.3468,Sports Shoes,0.2706,Sarees,0.0165,Shoes,0.6359,Casual Shoes,low_confidence
53737,Lounge Shorts,0.3459,Shorts,0.1574,Boxers,0.0892,Loungewear and Nightwear,0.4042,Shorts,low_confidence|changed_by_prior
53738,Lounge Pants,0.1882,Jeggings,0.1097,Pendant,0.0676,Bottomwear,0.35,Track Pants,low_confidence|family_disagrees|changed_by_prior
53740,Jeans,0.4062,Track Pants,0.0981,Free Gifts,0.035,Bottomwear,0.5774,Jeans,low_confidence
53741,Jeans,0.4348,Lounge Pants,0.1932,Trousers,0.0609,Bottomwear,0.6087,Jeans,low_confidence
53742,Lounge Shorts,0.197,Jeans,0.1666,Capris,0.0714,Bottomwear,0.3871,Jeans,low_confidence|family_disagrees|changed_by_prior
53744,Lounge Shorts,0.2409,Capris,0.1475,Patiala,0.1153,Bottomwear,0.3854,Capris,low_confidence|family_disagrees|changed_by_prior
53745,Lounge Shorts,0.4424,Lounge Pants,0.1543,Capris,0.1317,Loungewear and Nightwear,0.6035,Capris,low_confidence|changed_by_prior
53750,Jeans,0.2885,Lounge Pants,0.1003,Track Pants,0.062,Bottomwear,0.4863,Jeans,low_confidence
53751,Lounge Pants,0.265,Track Pants,0.0728,Jeans,0.0631,Loungewear and Nightwear,0.3125,Track Pants,low_confidence|changed_by_prior
53756,Handbags,0.4637,Messenger Bag,0.1394,Dresses,0.0722,Bags,0.6575,Handbags,low_confidence
53759,Shirts,0.355,Tshirts,0.1494,Jackets,0.0265,Topwear,0.5537,Shirts,low_confidence
53770,Tshirts,0.4946,Tops,0.1051,Dresses,0.0183,Topwear,0.6474,Tshirts,low_confidence
53784,Shirts,0.3803,Perfume and Body Mist,0.082,Jackets,0.0614,Topwear,0.5676,Shirts,low_confidence
53805,Flats,0.3367,Heels,0.0906,Socks,0.0864,Shoes,0.4493,Socks,low_confidence|changed_by_prior
53806,Socks,0.2409,Pendant,0.2076,Jewellery Set,0.0368,Jewellery,0.2817,Socks,low_confidence|family_disagrees
53808,Kurtas,0.2148,Nightdress,0.1807,Dresses,0.1713,Topwear,0.3485,Kurtas,low_confidence
53809,Dresses,0.5127,Tunics,0.2014,Tops,0.0427,Dress,0.5144,Tunics,changed_by_prior
53813,Tunics,0.4499,Dresses,0.276,Kurtas,0.1472,Topwear,0.6681,Tunics,low_confidence
53817,Jumpsuit,0.3193,Kurta Sets,0.1628,Night suits,0.1164,Dress,0.3236,Jumpsuit,low_confidence
53822,Tops,0.1606,Jackets,0.1456,Night suits,0.0678,Topwear,0.4269,Tops,low_confidence
53824,Dresses,0.6125,Tunics,0.2173,Kurtas,0.0511,Dress,0.614,Tunics,changed_by_prior
53826,Dresses,0.2813,Tunics,0.2152,Kurtas,0.1978,Topwear,0.6017,Tops,low_confidence|family_disagrees|changed_by_prior
53832,Dresses,0.6938,Kurtas,0.2127,Nightdress,0.0233,Dress,0.6949,Kurtas,changed_by_prior
53843,Dresses,0.6635,Kurtas,0.2781,Tunics,0.0161,Dress,0.6673,Kurtas,changed_by_prior
53866,Kurtas,0.3412,Tunics,0.0615,Nightdress,0.0502,Topwear,0.4846,Kurtas,low_confidence
