source,id,image_path,proposed_articleType,proposed_confidence,top3,retrieval_neighbours,CONFIRM_articleType
input_images,1017_women_0023_a36fe2486db54e83b62813b56147a042_master,A2_FashionDataset\input_images\1017_women_0023_a36fe2486db54e83b62813b56147a042_master.webp,Dupatta,0.2209,Dupatta 0.22 | Stoles 0.09 | Sarees 0.04,Stoles | Scarves | Stoles,
images_test,52553,A2_FashionDataset\FashionDataset\test\images_test\52553.jpg,Jeans,0.4762,Jeans 0.48 | Trousers 0.16 | Jeggings 0.04,Jeans | Jeans | Jeans,
images_test,52653,A2_FashionDataset\FashionDataset\test\images_test\52653.jpg,Duffel Bag,0.3697,Duffel Bag 0.37 | Wallets 0.05 | Shirts 0.04,Handbags | Handbags | Handbags,
images_test,56590,A2_FashionDataset\FashionDataset\test\images_test\56590.jpg,Watches,0.9032,Watches 0.90 | Free Gifts 0.01 | Socks 0.01,Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist,
images_test,55899,A2_FashionDataset\FashionDataset\test\images_test\55899.jpg,Lipstick,0.1385,Lipstick 0.14 | Perfume and Body Mist 0.14 | Mobile Pouch 0.11,Perfume and Body Mist | Lip Plumper | Lip Plumper,
images_test,55237,A2_FashionDataset\FashionDataset\test\images_test\55237.jpg,Foundation and Primer,0.3626,Foundation and Primer 0.36 | Perfume and Body Mist 0.28 | Shorts 0.06,Deodorant | Deodorant | Deodorant,
images_test,58807,A2_FashionDataset\FashionDataset\test\images_test\58807.jpg,Jackets,0.3424,Jackets 0.34 | Tshirts 0.22 | Mufflers 0.04,Jackets | Tshirts | Tshirts,
images_test,52021,A2_FashionDataset\FashionDataset\test\images_test\52021.jpg,Dupatta,0.2182,Dupatta 0.22 | Sarees 0.12 | Stoles 0.06,Stoles | Stoles | Stoles,
images_test,58323,A2_FashionDataset\FashionDataset\test\images_test\58323.jpg,Socks,0.4557,Socks 0.46 | Free Gifts 0.05 | Dupatta 0.04,Socks | Socks | Socks,
images_test,57094,A2_FashionDataset\FashionDataset\test\images_test\57094.jpg,Shorts,0.2372,Shorts 0.24 | Lounge Shorts 0.23 | Swimwear 0.09,Skirts | Skirts | Skirts,
images_test,56125,A2_FashionDataset\FashionDataset\test\images_test\56125.jpg,Gloves,0.1487,Gloves 0.15 | Socks 0.10 | Perfume and Body Mist 0.09,Gloves | Socks | Socks,
images_test,56065,A2_FashionDataset\FashionDataset\test\images_test\56065.jpg,Kajal and Eyeliner,0.117,Kajal and Eyeliner 0.12 | Earrings 0.11 | Lip Liner 0.10,Lip Gloss | Concealer | Lip Gloss,
images_test,58522,A2_FashionDataset\FashionDataset\test\images_test\58522.jpg,Backpacks,0.2349,Backpacks 0.23 | Travel Accessory 0.08 | Dresses 0.07,Backpacks | Tshirts | Tshirts,
images_test,56171,A2_FashionDataset\FashionDataset\test\images_test\56171.jpg,Earrings,0.1265,Earrings 0.13 | Lipstick 0.11 | Kajal and Eyeliner 0.09,Socks | Wristbands | Socks,
images_test,58537,A2_FashionDataset\FashionDataset\test\images_test\58537.jpg,Sunglasses,0.9357,Sunglasses 0.94 | Free Gifts 0.01 | Travel Accessory 0.00,Sunglasses | Sunglasses | Sunglasses,
images_test,59567,A2_FashionDataset\FashionDataset\test\images_test\59567.jpg,Cufflinks,0.8874,Cufflinks 0.89 | Shorts 0.01 | Flip Flops 0.01,Cufflinks | Cufflinks | Cufflinks,
images_test,56192,A2_FashionDataset\FashionDataset\test\images_test\56192.jpg,Socks,0.114,Socks 0.11 | Tshirts 0.09 | Swimwear 0.08,Socks | Socks | Heels,
images_test,55398,A2_FashionDataset\FashionDataset\test\images_test\55398.jpg,Pendant,0.0956,Pendant 0.10 | Jewellery Set 0.06 | Earrings 0.05,Earrings | Earrings | Earrings,
images_test,55471,A2_FashionDataset\FashionDataset\test\images_test\55471.jpg,Pendant,0.1104,Pendant 0.11 | Lipstick 0.09 | Foundation and Primer 0.06,Lipstick | Concealer | Lip Gloss,
images_test,56052,A2_FashionDataset\FashionDataset\test\images_test\56052.jpg,Kajal and Eyeliner,0.1319,Kajal and Eyeliner 0.13 | Earrings 0.10 | Lip Liner 0.10,Concealer | Concealer | Kajal and Eyeliner,
images_test,57572,A2_FashionDataset\FashionDataset\test\images_test\57572.jpg,Socks,0.0817,Socks 0.08 | Dupatta 0.07 | Earrings 0.05,Sunglasses | Nightdress | Sunglasses,
images_test,56190,A2_FashionDataset\FashionDataset\test\images_test\56190.jpg,Socks,0.0897,Socks 0.09 | Foundation and Primer 0.09 | Flats 0.03,Flats | Heels | Heels,
images_test,53248,A2_FashionDataset\FashionDataset\test\images_test\53248.jpg,Trousers,0.6228,Trousers 0.62 | Jeans 0.07 | Lounge Pants 0.05,Track Pants | Track Pants | Trousers,
images_test,53439,A2_FashionDataset\FashionDataset\test\images_test\53439.jpg,Flip Flops,0.8621,Flip Flops 0.86 | Flats 0.05 | Heels 0.02,Flip Flops | Heels | Flip Flops,
images_test,56062,A2_FashionDataset\FashionDataset\test\images_test\56062.jpg,Lip Liner,0.125,Lip Liner 0.12 | Perfume and Body Mist 0.12 | Kajal and Eyeliner 0.11,Concealer | Concealer | Lip Gloss,
images_test,56174,A2_FashionDataset\FashionDataset\test\images_test\56174.jpg,Earrings,0.1347,Earrings 0.13 | Lipstick 0.13 | Socks 0.07,Earrings | Earrings | Earrings,
images_test,56584,A2_FashionDataset\FashionDataset\test\images_test\56584.jpg,Lip Liner,0.0805,Lip Liner 0.08 | Pendant 0.07 | Socks 0.06,Deodorant | Deodorant | Deodorant,
images_test,56056,A2_FashionDataset\FashionDataset\test\images_test\56056.jpg,Kajal and Eyeliner,0.1158,Kajal and Eyeliner 0.12 | Lip Liner 0.11 | Earrings 0.09,Concealer | Concealer | Lip Gloss,
images_test,53085,A2_FashionDataset\FashionDataset\test\images_test\53085.jpg,Pendant,0.1427,Pendant 0.14 | Shirts 0.11 | Sunglasses 0.08,Necklace and Chains | Pendant | Necklace and Chains,
images_test,59282,A2_FashionDataset\FashionDataset\test\images_test\59282.jpg,Fragrance Gift Set,0.1314,Fragrance Gift Set 0.13 | Casual Shoes 0.10 | Bra 0.05,Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist,
images_test,55998,A2_FashionDataset\FashionDataset\test\images_test\55998.jpg,Lipstick,0.1983,Lipstick 0.20 | Foundation and Primer 0.15 | Lip Liner 0.11,Jewellery Set | Lip Gloss | Lipstick,
images_test,56289,A2_FashionDataset\FashionDataset\test\images_test\56289.jpg,Bra,0.8149,Bra 0.81 | Tshirts 0.03 | Track Pants 0.01,Bra | Bra | Bra,
images_test,56140,A2_FashionDataset\FashionDataset\test\images_test\56140.jpg,Watches,0.4067,Watches 0.41 | Tops 0.08 | Handbags 0.06,Heels | Flats | Heels,
images_test,53805,A2_FashionDataset\FashionDataset\test\images_test\53805.jpg,Socks,0.1372,Socks 0.14 | Flats 0.13 | Heels 0.09,Socks | Socks | Socks,
images_test,58180,A2_FashionDataset\FashionDataset\test\images_test\58180.jpg,Handbags,0.2939,Handbags 0.29 | Innerwear Vests 0.28 | Capris 0.06,Handbags | Mobile Pouch | Mobile Pouch,
images_test,53747,A2_FashionDataset\FashionDataset\test\images_test\53747.jpg,Track Pants,0.3045,Track Pants 0.30 | Lounge Pants 0.27 | Trousers 0.09,Track Pants | Track Pants | Track Pants,
images_test,52328,A2_FashionDataset\FashionDataset\test\images_test\52328.jpg,Basketballs,0.0787,Basketballs 0.08 | Belts 0.07 | Travel Accessory 0.07,Basketballs | Basketballs | Belts,
images_test,58116,A2_FashionDataset\FashionDataset\test\images_test\58116.jpg,Pendant,0.1262,Pendant 0.13 | Shoe Accessories 0.10 | Kajal and Eyeliner 0.09,Pendant | Pendant | Pendant,
images_test,55864,A2_FashionDataset\FashionDataset\test\images_test\55864.jpg,Lipstick,0.136,Lipstick 0.14 | Perfume and Body Mist 0.13 | Mobile Pouch 0.12,Lip Plumper | Perfume and Body Mist | Lip Plumper,
images_test,59749,A2_FashionDataset\FashionDataset\test\images_test\59749.jpg,Jumpsuit,0.1146,Jumpsuit 0.11 | Kurta Sets 0.09 | Nightdress 0.07,Night suits | Night suits | Night suits,
images_test,58923,A2_FashionDataset\FashionDataset\test\images_test\58923.jpg,Socks,0.4232,Socks 0.42 | Accessory Gift Set 0.33 | Watches 0.03,Accessory Gift Set | Accessory Gift Set | Accessory Gift Set,
images_test,52222,A2_FashionDataset\FashionDataset\test\images_test\52222.jpg,Fragrance Gift Set,0.0703,Fragrance Gift Set 0.07 | Casual Shoes 0.06 | Travel Accessory 0.06,Perfume and Body Mist | Perfume and Body Mist | Perfume and Body Mist,
images_test,56585,A2_FashionDataset\FashionDataset\test\images_test\56585.jpg,Lip Liner,0.0923,Lip Liner 0.09 | Pendant 0.07 | Kajal and Eyeliner 0.05,Deodorant | Deodorant | Deodorant,
images_test,52168,A2_FashionDataset\FashionDataset\test\images_test\52168.jpg,Perfume and Body Mist,0.0949,Perfume and Body Mist 0.09 | Ring 0.07 | Socks 0.05,Pendant | Pendant | Pendant,
images_test,58281,A2_FashionDataset\FashionDataset\test\images_test\58281.jpg,Watches,0.684,Watches 0.68 | Backpacks 0.03 | Necklace and Chains 0.02,Waist Pouch | Lip Gloss | Perfume and Body Mist,
images_test,52193,A2_FashionDataset\FashionDataset\test\images_test\52193.jpg,Socks,0.3497,Socks 0.35 | Mufflers 0.03 | Booties 0.03,Socks | Socks | Watches,
images_test,56429,A2_FashionDataset\FashionDataset\test\images_test\56429.jpg,Ring,0.0958,Ring 0.10 | Perfume and Body Mist 0.09 | Sports Shoes 0.06,Casual Shoes | Sandals | Sandals,
images_test,54606,A2_FashionDataset\FashionDataset\test\images_test\54606.jpg,Briefs,0.9325,Briefs 0.93 | Mobile Pouch 0.00 | Churidar 0.00,Briefs | Briefs | Briefs,
images_test,56248,A2_FashionDataset\FashionDataset\test\images_test\56248.jpg,Jumpsuit,0.1121,Jumpsuit 0.11 | Shorts 0.10 | Leggings 0.09,Trousers | Night suits | Night suits,
images_test,57208,A2_FashionDataset\FashionDataset\test\images_test\57208.jpg,Trousers,0.3134,Trousers 0.31 | Leggings 0.13 | Jeans 0.09,Jeans | Jeans | Jeans,
images_test,53738,A2_FashionDataset\FashionDataset\test\images_test\53738.jpg,Leggings,0.1558,Leggings 0.16 | Dupatta 0.06 | Jewellery Set 0.06,Kurtas | Dupatta | Kurtas,
images_test,55110,A2_FashionDataset\FashionDataset\test\images_test\55110.jpg,Backpacks,0.1875,Backpacks 0.19 | Dresses 0.15 | Casual Shoes 0.04,Heels | Bra | Bra,
images_test,59224,A2_FashionDataset\FashionDataset\test\images_test\59224.jpg,Watches,0.8889,Watches 0.89 | Pendant 0.01 | Night suits 0.01,Watches | Watches | Watches,
images_test,55466,A2_FashionDataset\FashionDataset\test\images_test\55466.jpg,Lipstick,0.073,Lipstick 0.07 | Pendant 0.06 | Foundation and Primer 0.05,Lipstick | Lip Gloss | Lip Gloss,
images_test,52410,A2_FashionDataset\FashionDataset\test\images_test\52410.jpg,Dresses,0.8135,Dresses 0.81 | Nightdress 0.09 | Sarees 0.03,Tops | Dresses | Dresses,
images_test,57085,A2_FashionDataset\FashionDataset\test\images_test\57085.jpg,Patiala,0.1104,Patiala 0.11 | Leggings 0.08 | Socks 0.06,Leggings | Kurtas | Dresses,
images_test,55111,A2_FashionDataset\FashionDataset\test\images_test\55111.jpg,Backpacks,0.2663,Backpacks 0.27 | Dresses 0.04 | Travel Accessory 0.04,Jackets | Perfume and Body Mist | Perfume and Body Mist,
images_test,53488,A2_FashionDataset\FashionDataset\test\images_test\53488.jpg,Bra,0.3773,Bra 0.38 | Socks 0.11 | Swimwear 0.10,Tshirts | Bra | Innerwear Vests,
images_test,55876,A2_FashionDataset\FashionDataset\test\images_test\55876.jpg,Perfume and Body Mist,0.1339,Perfume and Body Mist 0.13 | Lipstick 0.11 | Pendant 0.11,Mobile Pouch | Trunk | Wallets,
images_test,53086,A2_FashionDataset\FashionDataset\test\images_test\53086.jpg,Pendant,0.1363,Pendant 0.14 | Necklace and Chains 0.10 | Sunglasses 0.09,Necklace and Chains | Necklace and Chains | Necklace and Chains,
images_test,59557,A2_FashionDataset\FashionDataset\test\images_test\59557.jpg,Bracelet,0.8679,Bracelet 0.87 | Bangle 0.11 | Travel Accessory 0.00,Bracelet | Bracelet | Bracelet,
images_test,56144,A2_FashionDataset\FashionDataset\test\images_test\56144.jpg,Bra,0.1763,Bra 0.18 | Watches 0.07 | Sandals 0.06,Casual Shoes | Heels | Flats,
images_test,55112,A2_FashionDataset\FashionDataset\test\images_test\55112.jpg,Backpacks,0.2487,Backpacks 0.25 | Travel Accessory 0.04 | Dresses 0.04,Jackets | Perfume and Body Mist | Scarves,
images_test,56238,A2_FashionDataset\FashionDataset\test\images_test\56238.jpg,Tracksuits,0.4173,Tracksuits 0.42 | Night suits 0.13 | Jumpsuit 0.09,Night suits | Night suits | Night suits,
images_test,53462,A2_FashionDataset\FashionDataset\test\images_test\53462.jpg,Dupatta,0.1939,Dupatta 0.19 | Leggings 0.13 | Night suits 0.06,Robe | Dresses | Baby Dolls,
images_test,57505,A2_FashionDataset\FashionDataset\test\images_test\57505.jpg,Sandals,0.9165,Sandals 0.92 | Flip Flops 0.05 | Heels 0.00,Sandals | Sandals | Sandals,
images_test,56103,A2_FashionDataset\FashionDataset\test\images_test\56103.jpg,Earrings,0.1237,Earrings 0.12 | Briefs 0.08 | Lipstick 0.08,Perfume and Body Mist | Socks | Wristbands,
images_test,54699,A2_FashionDataset\FashionDataset\test\images_test\54699.jpg,Dresses,0.1679,Dresses 0.17 | Tunics 0.12 | Kurtas 0.11,Kurtas | Kurtas | Kurtas,
images_test,58216,A2_FashionDataset\FashionDataset\test\images_test\58216.jpg,Patiala,0.4813,Patiala 0.48 | Leggings 0.05 | Capris 0.05,Patiala | Patiala | Patiala,
images_test,55373,A2_FashionDataset\FashionDataset\test\images_test\55373.jpg,Watches,0.2891,Watches 0.29 | Nail Polish 0.05 | Water Bottle 0.05,Wallets | Wallets | Wallets,
images_test,53486,A2_FashionDataset\FashionDataset\test\images_test\53486.jpg,Bra,0.1353,Bra 0.14 | Swimwear 0.10 | Watches 0.07,Bra | Bra | Tshirts,
images_test,58150,A2_FashionDataset\FashionDataset\test\images_test\58150.jpg,Caps,0.2449,Caps 0.24 | Jackets 0.12 | Basketballs 0.05,Caps | Caps | Caps,
images_test,59174,A2_FashionDataset\FashionDataset\test\images_test\59174.jpg,Formal Shoes,0.8199,Formal Shoes 0.82 | Casual Shoes 0.10 | Sandals 0.01,Formal Shoes | Formal Shoes | Formal Shoes,
images_test,58018,A2_FashionDataset\FashionDataset\test\images_test\58018.jpg,Earrings,0.9587,Earrings 0.96 | Cufflinks 0.02 | Camisoles 0.00,Earrings | Earrings | Earrings,
images_test,53752,A2_FashionDataset\FashionDataset\test\images_test\53752.jpg,Shorts,0.7759,Shorts 0.78 | Lounge Shorts 0.04 | Track Pants 0.03,Shorts | Shorts | Shorts,
images_test,56923,A2_FashionDataset\FashionDataset\test\images_test\56923.jpg,Flats,0.4545,Flats 0.45 | Heels 0.37 | Sandals 0.05,Heels | Heels | Heels,
images_test,59461,A2_FashionDataset\FashionDataset\test\images_test\59461.jpg,Ring,0.7176,Ring 0.72 | Bangle 0.11 | Shirts 0.03,Ring | Ring | Ring,
