query,source,rank,result_id,similarity,same_articleType,articleType,baseColour,visually_similar
58895.jpg,catalogue,1,40210,0.9922000169754028,True,Ties,Black,
58895.jpg,catalogue,2,49722,0.9872000217437744,True,Ties,Black,
58895.jpg,catalogue,3,35088,0.9840999841690063,True,Ties,Black,
58895.jpg,catalogue,4,36361,0.9810000061988831,True,Ties,Black,
58895.jpg,catalogue,5,36355,0.9800999760627747,True,Ties,Black,
58895.jpg,catalogue,6,50286,0.9735000133514404,True,Ties,Black,
58895.jpg,catalogue,7,50313,0.9660999774932861,True,Ties,Brown,
58895.jpg,catalogue,8,35084,0.9641000032424927,True,Ties,Navy Blue,
59782.jpg,catalogue,1,42633,0.958299994468689,True,Bracelet,Gold,
59782.jpg,catalogue,2,42636,0.9498999714851379,True,Bracelet,Gold,
59782.jpg,catalogue,3,48313,0.9300000071525574,True,Bracelet,Gold,
59782.jpg,catalogue,4,48319,0.9244999885559082,True,Bracelet,Gold,
59782.jpg,catalogue,5,46060,0.9071999788284302,True,Bracelet,Gold,
59782.jpg,catalogue,6,48743,0.8860999941825867,False,Bangle,Steel,
59782.jpg,catalogue,7,46057,0.8560000061988831,True,Bracelet,Silver,
59782.jpg,catalogue,8,48587,0.8446000218391418,True,Bracelet,Silver,
58172.jpg,catalogue,1,47917,0.8251000046730042,True,Handbags,Black,
58172.jpg,catalogue,2,20610,0.8090000152587891,True,Handbags,Beige,
58172.jpg,catalogue,3,47957,0.808899998664856,True,Handbags,Blue,
58172.jpg,catalogue,4,21936,0.7928000092506409,True,Handbags,Pink,
58172.jpg,catalogue,5,21995,0.7890999913215637,True,Handbags,Grey,
58172.jpg,catalogue,6,25292,0.7870000004768372,True,Handbags,Olive,
58172.jpg,catalogue,7,8520,0.7853000164031982,True,Handbags,Grey,
58172.jpg,catalogue,8,37083,0.7821000218391418,True,Handbags,Olive,
53760.jpg,catalogue,1,24343,0.8226000070571899,True,Tshirts,White,
53760.jpg,catalogue,2,17203,0.8224999904632568,True,Tshirts,Green,
53760.jpg,catalogue,3,48406,0.8184000253677368,True,Tshirts,Cream,
53760.jpg,catalogue,4,29156,0.8116000294685364,True,Tshirts,Red,
53760.jpg,catalogue,5,9289,0.8113999962806702,True,Tshirts,White,
53760.jpg,catalogue,6,42587,0.8105000257492065,True,Tshirts,Navy Blue,
53760.jpg,catalogue,7,4764,0.809499979019165,True,Tshirts,White,
53760.jpg,catalogue,8,7299,0.808899998664856,True,Tshirts,Grey,
images (1).jpg,upload,1,46949,0.6520000100135803,True,Perfume and Body Mist,Peach,
images (1).jpg,upload,2,36279,0.6248000264167786,False,Night suits,Pink,
images (1).jpg,upload,3,36290,0.6111000180244446,False,Night suits,Grey,
images (1).jpg,upload,4,46784,0.6101999878883362,True,Perfume and Body Mist,Pink,
images (1).jpg,upload,5,36283,0.6017000079154968,False,Night suits,Grey,
images (1).jpg,upload,6,44026,0.5986999869346619,True,Perfume and Body Mist,White,
images (1).jpg,upload,7,36284,0.5943999886512756,False,Night suits,Pink,
images (1).jpg,upload,8,36269,0.586899995803833,False,Night suits,White,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,1,41996,0.6075999736785889,True,Dresses,Black,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,2,27198,0.5777000188827515,True,Dresses,Blue,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,3,47392,0.5576000213623047,False,Handbags,Beige,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,4,33503,0.5406000018119812,True,Dresses,White,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,5,40538,0.5248000025749207,False,Watches,White,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,6,47661,0.5220999717712402,True,Dresses,White,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,7,49527,0.5202000141143799,False,Handbags,Gold,
ae9d94dee29112613a6fae774382a2d4.jpg,upload,8,7313,0.515999972820282,False,Tops,White,
509.png,upload,1,32172,0.7099999785423279,True,Socks,Lavender,
509.png,upload,2,32170,0.6414999961853027,True,Socks,Pink,
509.png,upload,3,32157,0.6406000256538391,True,Socks,Lavender,
509.png,upload,4,12739,0.6362000107765198,True,Socks,Pink,
509.png,upload,5,18583,0.6258000135421753,True,Socks,Pink,
509.png,upload,6,31244,0.6247000098228455,False,Tshirts,Green,
509.png,upload,7,19503,0.6164000034332275,True,Socks,Purple,
509.png,upload,8,45089,0.6107000112533569,False,Bra,Brown,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,1,39374,0.6230999827384949,True,Watches,Green,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,2,22404,0.6003999710083008,False,Shirts,Green,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,3,20032,0.5946000218391418,False,Shirts,White,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,4,6124,0.5928999781608582,False,Backpacks,Black,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,5,37117,0.5925999879837036,False,Shirts,Blue,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,6,39786,0.5861999988555908,False,Shirts,Blue,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,7,13746,0.5859000086784363,False,Shirts,Blue,
sm_s_c_mint___short_summer__3__c13cee931ef04513be9f9862179e68fd.webp,upload,8,29706,0.5843999981880188,False,Shirts,Black,
images (9).jpg,upload,1,15892,0.6614999771118164,True,Casual Shoes,Blue,
images (9).jpg,upload,2,39735,0.6614999771118164,True,Casual Shoes,Navy Blue,
images (9).jpg,upload,3,25472,0.6603999733924866,True,Casual Shoes,Navy Blue,
images (9).jpg,upload,4,43297,0.6599000096321106,True,Casual Shoes,Blue,
images (9).jpg,upload,5,20678,0.656000018119812,True,Casual Shoes,Blue,
images (9).jpg,upload,6,32558,0.6521999835968018,True,Casual Shoes,Blue,
images (9).jpg,upload,7,24664,0.6521000266075134,True,Casual Shoes,Purple,
images (9).jpg,upload,8,33852,0.6518999934196472,True,Casual Shoes,Blue,
25637193-carousel-block-earrings-v1.webp,upload,1,20771,0.7483000159263611,True,Flats,Silver,
25637193-carousel-block-earrings-v1.webp,upload,2,40485,0.6996999979019165,False,Sports Shoes,Grey,
25637193-carousel-block-earrings-v1.webp,upload,3,35562,0.6923999786376953,False,Sandals,White,
25637193-carousel-block-earrings-v1.webp,upload,4,24121,0.6814000010490417,False,Casual Shoes,White,
25637193-carousel-block-earrings-v1.webp,upload,5,43364,0.6730999946594238,True,Flats,Silver,
25637193-carousel-block-earrings-v1.webp,upload,6,14437,0.6726999878883362,False,Heels,Silver,
25637193-carousel-block-earrings-v1.webp,upload,7,43363,0.6717000007629395,True,Flats,White,
25637193-carousel-block-earrings-v1.webp,upload,8,15258,0.6717000007629395,False,Casual Shoes,Beige,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,1,40538,0.6532999873161316,True,Watches,White,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,2,43705,0.6521999835968018,False,Jewellery Set,White,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,3,48761,0.6496999859809875,False,Jewellery Set,White,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,4,42611,0.6401000022888184,False,Jewellery Set,Gold,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,5,42614,0.6328999996185303,False,Jewellery Set,Gold,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,6,46039,0.6265000104904175,False,Jewellery Set,Gold,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,7,29978,0.6121000051498413,True,Watches,Multi,
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,upload,8,46042,0.6101999878883362,False,Jewellery Set,Gold,
images.jpg,upload,1,5408,0.629800021648407,True,Sports Shoes,Blue,
images.jpg,upload,2,15024,0.5724999904632568,False,Caps,Blue,
images.jpg,upload,3,36646,0.546999990940094,False,Caps,Blue,
images.jpg,upload,4,25940,0.5440000295639038,False,Scarves,Yellow,
images.jpg,upload,5,13810,0.5408999919891357,False,Mufflers,White,
images.jpg,upload,6,38308,0.5393000245094299,False,Scarves,Blue,
images.jpg,upload,7,17388,0.531000018119812,False,Mufflers,Blue,
images.jpg,upload,8,17387,0.5309000015258789,False,Mufflers,Blue,
