query,rank,id,articleType,subCategory,masterCategory,baseColour,gender,usage,productDisplayName,image_path,similarity,mode
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,3,43849,Earrings,Jewellery,Accessories,Green,Women,Ethnic,Royal Diadem White & Green Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43849.jpg,0.5965,letterbox
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,4,43816,Earrings,Jewellery,Accessories,Olive,Women,Casual,Royal Diadem Olive Green Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43816.jpg,0.5854,letterbox
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,5,42620,Earrings,Jewellery,Accessories,Gold,Women,Casual,Estelle Gold Plated Drop Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\42620.jpg,0.5842,letterbox
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,6,43865,Earrings,Jewellery,Accessories,Gold,Women,Ethnic,Royal Diadem Golden Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43865.jpg,0.58,letterbox
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,7,43848,Earrings,Jewellery,Accessories,Gold,Women,Ethnic,Royal Diadem Golden Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43848.jpg,0.5777,letterbox
2b3f6ff00db7a1efae21d85cfb8995eaff2da8d8.png,8,31704,Earrings,Jewellery,Accessories,Gold,Women,Ethnic,Fabindia Women Ananya Gold Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\31704.jpg,0.5678,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,1,14748,Shirts,Topwear,Apparel,White,Men,Formal,Arrow Men Solid White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\14748.jpg,0.6567,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,2,9357,Socks,Socks,Accessories,White,Men,Casual,Puma Men Sport Pack of 3 Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\9357.jpg,0.6532,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,3,6704,Socks,Socks,Accessories,White,Women,Sports,Nike Women's Nsw Wmns Ctn White Pink Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\6704.jpg,0.6434,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,4,40016,Socks,Socks,Accessories,White,Unisex,Casual,ADIDAS Unisex White Pack of 3 Ankle Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\40016.jpg,0.6425,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,5,9352,Socks,Socks,Accessories,White,Men,Casual,Puma Men Sports Socks 1 Pair White Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\9352.jpg,0.6421,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,6,14736,Shirts,Topwear,Apparel,White,Men,Formal,Arrow Men Solid White Shirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\14736.jpg,0.6328,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,7,49990,Socks,Socks,Accessories,White,Men,Sports,Hanes Men Pack Of 3 White Cushion Max Crew Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\49990.jpg,0.622,letterbox
3-Stripes_High_Crew_Socks_3_Pairs_White_KD8239_01_01_00_standard.avif,8,50400,Watches,Watches,Accessories,Steel,Women,Casual,Miss Sixty Silver Dial Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\50400.jpg,0.6167,letterbox
4130636080047_004_b14.webp,1,50401,Watches,Watches,Accessories,Gold,Women,Casual,Miss Sixty Gold Dial Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\50401.jpg,0.6401,letterbox
4130636080047_004_b14.webp,2,5381,Sports Shoes,Shoes,Footwear,Purple,Women,Sports,Quechua Arpenaz 200 L,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\5381.jpg,0.6361,letterbox
4130636080047_004_b14.webp,3,5407,Sports Shoes,Shoes,Footwear,Beige,Women,Sports,Quechua Forclaz 500 L Beige Cn,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\5407.jpg,0.6147,letterbox
4130636080047_004_b14.webp,4,38536,Casual Shoes,Shoes,Footwear,White,Men,Casual,Puma Men White Evo Leather Shoes,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\38536.jpg,0.5656,letterbox
4130636080047_004_b14.webp,5,3048,Tshirts,Topwear,Apparel,White,Men,Casual,Tantra Men's Rupee White T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\3048.jpg,0.5649,letterbox
4130636080047_004_b14.webp,6,25604,Watches,Watches,Accessories,Black,Men,Casual,Fastrack Men Black Casual Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\25604.jpg,0.56,letterbox
4130636080047_004_b14.webp,7,21510,Handbags,Bags,Accessories,White,Women,Casual,Kiara Women Graphiti White Handbag,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\21510.jpg,0.5595,letterbox
4130636080047_004_b14.webp,8,29939,Watches,Watches,Accessories,White,Men,Casual,Police Men White Dial Watch PL12963JS-01,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\29939.jpg,0.5576,letterbox
509.png,1,9362,Socks,Socks,Accessories,Purple,Women,Casual,Puma Women Logo Stud Pink Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\9362.jpg,0.6611,letterbox
509.png,2,7678,Socks,Socks,Accessories,Pink,Women,Casual,Wrangler Women Pink Secret Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\7678.jpg,0.6072,letterbox
509.png,3,32172,Socks,Socks,Accessories,Lavender,Women,Casual,Playboy Women Lavender Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\32172.jpg,0.5939,letterbox
509.png,4,6704,Socks,Socks,Accessories,White,Women,Sports,Nike Women's Nsw Wmns Ctn White Pink Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\6704.jpg,0.5756,letterbox
509.png,5,12739,Socks,Socks,Accessories,Pink,Unisex,Sports,Nike Kids Unisex Sport Hi Quarter  Pack of 3 Pink Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\12739.jpg,0.5745,letterbox
509.png,6,49986,Socks,Socks,Accessories,White,Women,Casual,Hanes Women Assorted Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\49986.jpg,0.5592,letterbox
509.png,7,24655,Socks,Socks,Accessories,White,Men,Casual,ADIDAS Originals Men White Casual Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\24655.jpg,0.5551,letterbox
509.png,8,40149,Dresses,Dress,Apparel,Pink,Girls,Casual,Gini and Jony Girls Play Suit Pink Dress,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\40149.jpg,0.5541,letterbox
600_google-pattern-socks.jpg,1,43779,Earrings,Jewellery,Accessories,White,Women,Casual,Royal Diadem White Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43779.jpg,0.6518,letterbox
600_google-pattern-socks.jpg,2,43831,Earrings,Jewellery,Accessories,White,Women,Casual,Royal Diadem White Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43831.jpg,0.6394,letterbox
600_google-pattern-socks.jpg,3,43814,Earrings,Jewellery,Accessories,White,Women,Ethnic,Royal Diadem White Earrings,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43814.jpg,0.6264,letterbox
600_google-pattern-socks.jpg,4,48768,Jewellery Set,Jewellery,Accessories,White,Women,Casual,Miki Pearl Women Ivory Jewellery Set,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\48768.jpg,0.61,letterbox
600_google-pattern-socks.jpg,5,48759,Jewellery Set,Jewellery,Accessories,White,Women,Casual,Miki Pearl Women Ivory Jewellery Set,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\48759.jpg,0.6074,letterbox
600_google-pattern-socks.jpg,6,2622,Tshirts,Topwear,Apparel,Blue,Men,Sports,Nike Mens Bleed Blue Team India T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\2622.jpg,0.6036,letterbox
600_google-pattern-socks.jpg,7,8503,Socks,Socks,Accessories,White,Unisex,Sports,Nike Unisex China Swsh Ct White Socks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\8503.jpg,0.6009,letterbox
600_google-pattern-socks.jpg,8,2724,Tshirts,Topwear,Apparel,White,Boys,Casual,Disney Kids Boy's White Red Kidswear,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\2724.jpg,0.6005,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,1,50403,Watches,Watches,Accessories,Silver,Women,Casual,Miss Sixty Silver Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\50403.jpg,0.6051,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,2,29449,Watches,Watches,Accessories,Black,Men,Casual,Giordano Men Black Dial Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\29449.jpg,0.5912,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,3,45144,Watches,Watches,Accessories,Black,Women,Casual,CASIO ENTICER Women Black Dial Analogue Watch A443,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\45144.jpg,0.5845,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,4,46926,Perfume and Body Mist,Fragrance,Personal Care,Black,Men,Casual,York Men Prestige Perfume,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\46926.jpg,0.5825,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,5,45240,Watches,Watches,Accessories,Blue,Women,Smart Casual,CASIO Baby-G Women Blue Analogue & Digital Watch BX005,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\45240.jpg,0.5745,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,6,34772,Handbags,Bags,Accessories,Blue,Women,Casual,Be For Bag Women Zoli Blue Bag,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\34772.jpg,0.571,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,7,45138,Watches,Watches,Accessories,Blue,Men,Casual,Casio Enticer Men Silver Multi-Dial Analogue Watches A387 MTP-1246D-2AVDF,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\45138.jpg,0.5709,letterbox
Afternoon_ensemble_MET_63.212a-b_CP4.jpg,8,48015,Watches,Watches,Accessories,Black,Women,Casual,Helix Women Black Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\48015.jpg,0.5709,letterbox
Collier_ruban_or_vermeil_2.webp,1,30076,Watches,Watches,Accessories,Brown,Women,Casual,Ed Hardy Women Brown Dial Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\30076.jpg,0.7112,letterbox
Collier_ruban_or_vermeil_2.webp,2,27470,Camisoles,Innerwear,Apparel,Skin,Women,Casual,Jockey Beige Camisole,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27470.jpg,0.6898,letterbox
Collier_ruban_or_vermeil_2.webp,3,49109,Foundation and Primer,Makeup,Personal Care,Skin,Women,Casual,Deborah Age Reset Anti Ageing Foundation 01,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\49109.jpg,0.6563,letterbox
Collier_ruban_or_vermeil_2.webp,4,27517,Briefs,Innerwear,Apparel,Skin,Women,Casual,Jockey Lace Stretch Skin Boy Leg Brief,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27517.jpg,0.6293,letterbox
Collier_ruban_or_vermeil_2.webp,5,8068,Wallets,Wallets,Accessories,Brown,Men,Casual,Fastrack Men Non Leather Drak Brown Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\8068.jpg,0.6235,letterbox
Collier_ruban_or_vermeil_2.webp,6,49099,Foundation and Primer,Makeup,Personal Care,Skin,Women,Casual,Deborah 24 Ore Perfect Foundation Apricot 4,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\49099.jpg,0.6151,letterbox
Collier_ruban_or_vermeil_2.webp,7,33444,Handbags,Bags,Accessories,Brown,Women,Casual,Baggit Women Camel Brown Sling Bag,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\33444.jpg,0.6033,letterbox
Collier_ruban_or_vermeil_2.webp,8,49138,Foundation and Primer,Makeup,Personal Care,Skin,Women,Casual,Deborah Nude Perfection 5 Foundation,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\49138.jpg,0.6,letterbox
d8ff992811e561202194328c9562a843.jpg,1,30533,Bra,Innerwear,Apparel,Black,Women,Casual,Lovable Cotton Essensuals Black Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\30533.jpg,0.612,letterbox
d8ff992811e561202194328c9562a843.jpg,2,50000,Bra,Innerwear,Apparel,Black,Women,Sports,Hanes Women Black Cotton Stretch Racer Back Sports Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\50000.jpg,0.6108,letterbox
d8ff992811e561202194328c9562a843.jpg,3,30528,Bra,Innerwear,Apparel,Black,Women,Casual,Lovable Cotton Essensuals Black Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\30528.jpg,0.6048,letterbox
d8ff992811e561202194328c9562a843.jpg,4,27402,Bra,Innerwear,Apparel,Black,Women,Casual,Jockey Essence Jane Black Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27402.jpg,0.5945,letterbox
d8ff992811e561202194328c9562a843.jpg,5,21610,Bra,Innerwear,Apparel,Black,Women,Casual,Enamor Women Smooth Black Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\21610.jpg,0.5914,letterbox
d8ff992811e561202194328c9562a843.jpg,6,50012,Bra,Innerwear,Apparel,Black,Women,Sports,Hanes Women Black Cotton Stretch Moulded Cup Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\50012.jpg,0.5889,letterbox
d8ff992811e561202194328c9562a843.jpg,7,27502,Bra,Innerwear,Apparel,Black,Women,Casual,Jockey Black Moulded Cami Bra SS12,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27502.jpg,0.5871,letterbox
d8ff992811e561202194328c9562a843.jpg,8,30529,Bra,Innerwear,Apparel,Skin,Women,Casual,Lovable Cotton Essensuals Skin Coloured Bra,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\30529.jpg,0.5858,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,1,14140,Cufflinks,Cufflinks,Accessories,Steel,Men,Formal,Belmonte Men Bright Assorted Steel Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\14140.jpg,0.5953,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,2,14156,Cufflinks,Cufflinks,Accessories,Steel,Men,Formal,Belmonte Men Bright Assorted Steel Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\14156.jpg,0.5782,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,3,14161,Cufflinks,Cufflinks,Accessories,Steel,Men,Formal,Belmonte Men Textured Steel Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\14161.jpg,0.5554,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,4,39036,Cufflinks,Cufflinks,Accessories,Black,Men,Formal,Belmonte Men Black Bright Assorted Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\39036.jpg,0.549,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,5,24772,Cufflinks,Cufflinks,Accessories,Silver,Men,Casual,Belmonte Men Silver Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\24772.jpg,0.5489,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,6,14147,Cufflinks,Cufflinks,Accessories,Steel,Men,Formal,Belmonte Men Bright Assorted Steel Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\14147.jpg,0.5475,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,7,39033,Cufflinks,Cufflinks,Accessories,Steel,Men,Formal,Belmonte Men Steel Bright Assorted Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\39033.jpg,0.5449,letterbox
giay-local-brand-viet-nam_b140845b-6e68-45f7-af85-4c504c4d1571.webp,8,39038,Cufflinks,Cufflinks,Accessories,White,Men,Formal,Belmonte Men White Bright Assorted Cufflinks,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\39038.jpg,0.5445,letterbox
images (1).jpg,1,42917,Wallets,Wallets,Accessories,White,Women,Casual,French Connection Women Cream Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\42917.jpg,0.8254,letterbox
images (1).jpg,2,36511,Wallets,Wallets,Accessories,Cream,Women,Casual,United Colors of Benetton Women Cream Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\36511.jpg,0.788,letterbox
images (1).jpg,3,20582,Wallets,Wallets,Accessories,White,Women,Casual,Baggit Women Karma Taj White Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\20582.jpg,0.7709,letterbox
images (1).jpg,4,42926,Wallets,Wallets,Accessories,White,Women,Casual,French Connection Women White Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\42926.jpg,0.7704,letterbox
images (1).jpg,5,20477,Wallets,Wallets,Accessories,Beige,Women,Casual,Baggit Women Oscar Opart Beige Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\20477.jpg,0.7637,letterbox
images (1).jpg,6,33449,Wallets,Wallets,Accessories,Beige,Women,Casual,Baggit Women Rope Sparklecrush Beige Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\33449.jpg,0.7297,letterbox
images (1).jpg,7,48327,Handbags,Bags,Accessories,Green,Women,Casual,Pitaraa Women Green Sling Bag,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\48327.jpg,0.7284,letterbox
images (1).jpg,8,27045,Clutches,Bags,Accessories,Off White,Women,Casual,Yelloe Off White Fur Zip Clutch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27045.jpg,0.7274,letterbox
images (2).jpg,1,27206,Shorts,Bottomwear,Apparel,Blue,Men,Casual,Doodle Kids Boy Light Blue Shorts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27206.jpg,0.6769,letterbox
images (2).jpg,2,27205,Shorts,Bottomwear,Apparel,Blue,Men,Casual,Doodle Kids Boy Dark Blue Shorts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27205.jpg,0.6524,letterbox
images (2).jpg,3,10033,Shorts,Bottomwear,Apparel,Navy Blue,Men,Sports,Nike Men As Ad Breakli Navy Blue Shorts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\10033.jpg,0.6402,letterbox
images (2).jpg,4,1620,Shorts,Bottomwear,Apparel,Blue,Men,Sports,Reebok Men Micro Shorts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\1620.jpg,0.6351,letterbox
