id,duplicate_hash,source_hash,source_identical_highres,resize_collision,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,conflicting_task_labels
19110,5dc7c245e8ed2908dbf53db956c66e5d,b82fd4e6f62f93a1315633b15094a5a6,True,False,Men,Apparel,Topwear,Tshirts,Beige,Winter,2016,Casual,Campbell Men Pack of 3 Solid Tshirts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\19110.jpg,True
37151,5dc7c245e8ed2908dbf53db956c66e5d,b82fd4e6f62f93a1315633b15094a5a6,True,False,Men,Apparel,Topwear,Tshirts,Beige,Summer,2016,Casual,Campbell Men Pack of 3 T-shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\37151.jpg,True
21810,afb3d4ee36bb7f78b13c1e902e467cac,d8ddf5126774a50df9e40be47a7ad08f,True,False,Men,Accessories,Wallets,Wallets,Brown,Winter,2016,Casual,Fossil Men Hood Traveller Brown Wallet,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\21810.jpg,True
23810,afb3d4ee36bb7f78b13c1e902e467cac,d8ddf5126774a50df9e40be47a7ad08f,True,False,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2014,Casual,Clarks Men Black Supa Step Casual Shoes,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\23810.jpg,True
23793,872ce5aa1278a0ebe609b1e6b26db38d,a910210e5eeb6ac981f01a37404c736d,True,False,Unisex,Footwear,Shoes,Casual Shoes,Black,Spring,2012,Casual,Converse Unisex Tongue Triple Color Black Casual Shoes,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\23793.jpg,True
24301,872ce5aa1278a0ebe609b1e6b26db38d,a910210e5eeb6ac981f01a37404c736d,True,False,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2012,Casual,Converse Men Black Tongue Triple Colour Shoes,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\24301.jpg,True
2638,79d8f0a24a8e4085be8eb187bbe9cff5,a47ae4dda17c279b605f62a4198d7a3e,True,False,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2010,Formal,Carlton London Men's Semi Formal Coffee Shoe,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\2638.jpg,True
2640,79d8f0a24a8e4085be8eb187bbe9cff5,a47ae4dda17c279b605f62a4198d7a3e,True,False,Men,Footwear,Shoes,Formal Shoes,Brown,Winter,2012,Formal,Carlton London Men Brown Formal Shoes,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\2640.jpg,True
27559,85d976e388c85dfa46d5183573687661,4b49e22253eef17f73ea515e261a74bc,True,False,Men,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Scullers Men Purple Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\27559.jpg,True
43410,85d976e388c85dfa46d5183573687661,4b49e22253eef17f73ea515e261a74bc,True,False,Men,Apparel,Topwear,Shirts,Purple,Summer,2012,Formal,Scullers Men Purple Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\43410.jpg,True
28167,4e52b317ac510727f36fa2e45f2c9c7e,8e23ef28b2baac0dcffdb02fdfd01602,True,False,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016,Casual,Ray-Ban Men Aviator Gold Sunglasses,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\28167.jpg,True
28186,4e52b317ac510727f36fa2e45f2c9c7e,8e23ef28b2baac0dcffdb02fdfd01602,True,False,Unisex,Accessories,Eyewear,Sunglasses,Gold,Winter,2016,Casual,Ray-Ban Unisex Aviator Gold Sunglasses,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\28186.jpg,True
28188,4e52b317ac510727f36fa2e45f2c9c7e,8e23ef28b2baac0dcffdb02fdfd01602,True,False,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016,Casual,Ray-Ban Men Aviator Gold Sunglasses,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\28188.jpg,True
28345,097bb0d44db47eea74f448029b84afe3,609f27a881f9b289f1ea1491906c9fce,True,False,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Idee Men Black Sunglasses,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\28345.jpg,True
28347,097bb0d44db47eea74f448029b84afe3,609f27a881f9b289f1ea1491906c9fce,True,False,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016,Casual,IDEE Men Black Sunglasses,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\28347.jpg,True
30566,d6f9ce6b66a8dce23152cadbb0c0a484,a16a4a966df6e2981c5ffb3268b4ac1d,True,False,Men,Accessories,Eyewear,Sunglasses,Red,Winter,2016,Casual,Opium Men Black Sunglasses,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\30566.jpg,True
30568,d6f9ce6b66a8dce23152cadbb0c0a484,a16a4a966df6e2981c5ffb3268b4ac1d,True,False,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Opium Unisex Black Sunglass,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\30568.jpg,True
33259,963dfc2db4d66d4785a31bf72aec54cb,5d5cd06fbbb0eb2fb4e6e19ccbe13af4,True,False,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Gini & Jony Boys Blue Shorts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\33259.jpg,True
39336,963dfc2db4d66d4785a31bf72aec54cb,5d5cd06fbbb0eb2fb4e6e19ccbe13af4,True,False,Boys,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Gini & Jony Boys Blue Shorts,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\39336.jpg,True
36762,58a0def49681f2a77ae800121905bc43,f8e920128e4df7d3bdeacf1096c3fc3b,True,False,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Dial Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\36762.jpg,True
36771,58a0def49681f2a77ae800121905bc43,f8e920128e4df7d3bdeacf1096c3fc3b,True,False,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\36771.jpg,True
39107,a44bf3fe66d075b78168f346f3d07327,aca63534e514cb1ef999c64ce474e388,True,False,Boys,Accessories,Headwear,Caps,Blue,Summer,2012,Sports,ADIDAS Mumbai Indians Boys Blue Match Cap,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\39107.jpg,True
39108,a44bf3fe66d075b78168f346f3d07327,aca63534e514cb1ef999c64ce474e388,True,False,Girls,Accessories,Headwear,Caps,Blue,Summer,2012,Sports,ADIDAS Mumbai Indians Girls Blue Match Cap,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\39108.jpg,True
4898,7d452d9929d147abc33e368d7fe21876,e7e9e127d10b12a8fee6e220886fca07,True,False,Women,Apparel,Topwear,Tops,Green,Summer,2011,Casual,Levis Kids Girl's Desiree Green Teens Kidswear,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\4898.jpg,True
4899,7d452d9929d147abc33e368d7fe21876,e7e9e127d10b12a8fee6e220886fca07,True,False,Women,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Levis Kids Girl's Desiree Green Kidswear,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\4899.jpg,True
51073,1faa3810a6f4f527d465bc14d6a0611d,c08fe8f4ef6a2d5fbbd339c9c19510e8,True,False,Women,Free Items,Free Gifts,Free Gifts,Olive,Summer,2012,Ethnic,Satya Paul Olive Saree,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\51073.jpg,True
51101,1faa3810a6f4f527d465bc14d6a0611d,c08fe8f4ef6a2d5fbbd339c9c19510e8,True,False,Women,Apparel,Saree,Sarees,Green,Summer,2012,Ethnic,Satya Paul Green Printed Saree,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\51101.jpg,True
7158,7a197ee53c67c7d951318e98dc394e6b,9156e435ffc8c5a468ccc03c86bbac00,True,False,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\7158.jpg,True
8786,7a197ee53c67c7d951318e98dc394e6b,9156e435ffc8c5a468ccc03c86bbac00,True,False,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,Scullers Men Blue & Green Check Shirt,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\8786.jpg,True
8273,49768fb1b105b434be1e9dd229c26760,aa4c37eb9cb2b22f501efadf85be284b,True,False,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Doodle Men Athletic 77 Dept Yellow tee Yellow Kidswear,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\8273.jpg,True
8325,49768fb1b105b434be1e9dd229c26760,aa4c37eb9cb2b22f501efadf85be284b,True,False,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear,c:\Users\LEGION\Documents\jupyter_notebook\Fashion-Intelligence-System\A2_FashionDataset\FashionDataset\train\images_train\8325.jpg,True
